Utterance,Sentences,Translated Sentences,Dialog Acts
基本上，英语圈的排名多将英美及其殖民地英系风格的大学排名在前是众所周知的。 这确实违反常识。 因此ARWU排名即使有利有弊但是，是以实际数据计算的。,"['基本上，英语圈的排名多将英美及其殖民地英系风格的大学排名在前是众所周知的。', '这确实违反常识。', '因此ARWU排名即使有利有弊但是，是以实际数据计算的。']","['Basically, it is well known that most of the rankings in the English-speaking world place the British, American and their colonial British-style universities at the top.', 'This really goes against common sense.', 'Therefore, even though the ARWU ranking has advantages and disadvantages, it is calculated based on actual data.']","[('sd',), ('sv',), ('sv',)]"
法律完全是死的東西，合情合理不見得合法。 非法的舉動再合理也不會變合法的。 法律作繭自縛的事情多了，多少書籍就是作者死了也絕版了還是不能開放自由利用的，何止這個宣言。,"['法律完全是死的東西，合情合理不見得合法。', '非法的舉動再合理也不會變合法的。', '法律作繭自縛的事情多了，多少書籍就是作者死了也絕版了還是不能開放自由利用的，何止這個宣言。']","['The law is completely dead, and what is reasonable is not necessarily legal.', 'No matter how reasonable an illegal action is, it will never become legal.', 'There are so many things that the law is in a cocoon. How many books cannot be opened and freely used even if the author is dead and out of print, not just this declaration.']","[('sv',), ('sv',), ('sv',)]"
智利裡有很多文字讀起來都不暢順，明顯是機器翻譯而成。 其涉及的範圍太廣，不知有誰能夠處理?,"['智利裡有很多文字讀起來都不暢順，明顯是機器翻譯而成。', '其涉及的範圍太廣，不知有誰能夠處理?']","['There are many texts in Chile that cannot be read smoothly and are obviously machine translated.', 'It involves too much scope, I wonder who can handle it?']","[('sv',), ()]"
条目内容充实，不过仍要提出一点建议：编者在翻译过程中把好些定语从句单独翻译成一个句子，例如“在那里，她结识了物理学家袁家骝。 他是首任中华民国大总统袁世凯的孙子。,"['条目内容充实，不过仍要提出一点建议：编者在翻译过程中把好些定语从句单独翻译成一个句子，例如“在那里，她结识了物理学家袁家骝。', '他是首任中华民国大总统袁世凯的孙子。']","['The content of the entry is substantial, but there is still a suggestion to be made: the editor translated many attributive clauses into a single sentence during the translation process, for example, ""There, she met the physicist Yuan Jialiu.', 'He is the grandson of Yuan Shikai, the first president of the Republic of China.']","[('sd',), ('sd',)]"
並不會造成混亂或錯誤，「愛人」在目前的日文用法確實就是有情婦(夫)與第三者的意味。 就像重要他人在目前美語用法中等同於「情侶」，而且部分外語頁面如日文、德文也是連結到情侶。,"['並不會造成混亂或錯誤，「愛人」在目前的日文用法確實就是有情婦(夫)與第三者的意味。', '就像重要他人在目前美語用法中等同於「情侶」，而且部分外語頁面如日文、德文也是連結到情侶。']","['It will not cause confusion or mistakes. The current usage of ""lover"" in Japanese does mean a mistress (husband) and a third party.', 'Just like significant others are equivalent to ""couples"" in the current American usage, and some foreign language pages such as Japanese and German are also linked to couples.']","[('sd',), ('sv',)]"
全篇都是廢話，迴避指控，遊花園兜大圈。 臭罵電視台非硬譯死譯版本、惡意人身攻擊顧問，只顯示閣下的人格，卻半點兒都支持不到你指鹿為馬、扭曲事實的行為。,"['全篇都是廢話，迴避指控，遊花園兜大圈。', '臭罵電視台非硬譯死譯版本、惡意人身攻擊顧問，只顯示閣下的人格，卻半點兒都支持不到你指鹿為馬、扭曲事實的行為。']","['The whole article is nonsense, avoiding accusations, and wandering around the garden.', 'Swearing at the non-hard-translated version of the TV station and malicious personal attacks on the consultants only show your personality, but it does not support your behavior of pointing a deer into a horse and distorting the facts at all.']","[('sv',), ('sd',)]"
当然不是这样的，小区的用法从来没有这样的。 社区的概念在汉语中出现于北洋时期，而小区的概念是受苏联体制影响才出现的。 我不反对楼上添加区别的内容，但是如果把没有的东西说有就不好了。,"['当然不是这样的，小区的用法从来没有这样的。', '社区的概念在汉语中出现于北洋时期，而小区的概念是受苏联体制影响才出现的。', '我不反对楼上添加区别的内容，但是如果把没有的东西说有就不好了。']","['Of course not, the usage of the district has never been like this.', 'The concept of community appeared in the Chinese language during the Beiyang period, while the concept of community emerged under the influence of the Soviet system.', ""I don't object to the content of adding distinctions upstairs, but it would be bad if there are things that don't exist.""]","[('sd',), ('sv',), ('sv',)]"
關於中華民國回應，這幾天好像都被刪來刪去。 我不喜歡編輯戰，無論是那段話是被放上去還是被Fxqf君撤下來，都沒有什麽刪改的慾望。 但是，既然都吵的這裡來了，鄙人就斗膽說兩句。,"['關於中華民國回應，這幾天好像都被刪來刪去。', '我不喜歡編輯戰，無論是那段話是被放上去還是被Fxqf君撤下來，都沒有什麽刪改的慾望。', '但是，既然都吵的這裡來了，鄙人就斗膽說兩句。']","['Regarding the response from the Republic of China, it seems that it has been deleted and deleted in the past few days.', ""I don't like editing wars, no matter whether that paragraph is put up or taken down by Mr. Fxqf, I don't have any desire to delete it."", 'However, since we are all noisy here, I will boldly say a few words.']","[(), ('sd',), ()]"
巴拉克欧巴马Dazibao (留言)  新的来源：《“奥巴马”从此名叫“欧巴马”？》不过还要看大陆媒体以后会怎么动。 目前大陆译名还是以“奥巴马”为准。,"['巴拉克欧巴马Dazibao (留言)  新的来源：《“奥巴马”从此名叫“欧巴马”？》不过还要看大陆媒体以后会怎么动。', '目前大陆译名还是以“奥巴马”为准。']","['Barack Obama Dazibao (message) New source: """"Obama"" is now called ""Obama""? ""However, it depends on how the mainland media will move in the future.', 'At present, the mainland translated name is still based on ""Obama"".']","[('sd',), ('sd',)]"
@user： 1.‘為什麼不是外國有相關論文關注度小到中國學者無人問津？ 你至少也找到中國贊同的論文才來言之鑿鑿真實吧。,"['@user： 1.‘為什麼不是外國有相關論文關注度小到中國學者無人問津？', '你至少也找到中國贊同的論文才來言之鑿鑿真實吧。']","[""@user: 1. 'Why is it not that there are related papers in foreign countries that have received little attention so that no Chinese scholars care about them?"", 'You must at least find a paper that China agrees with to make it conclusively true.']","[('qo',), ('sv',)]"
另外，“中國佔據統治地位的東亞外交系統在清朝末期逐漸衰落，而西方的國家平等概念逐漸佔據統治地位。 ”的說法完全有誤，實為盲目詆毀中華文明而謅媚西方文明。,"['另外，“中國佔據統治地位的東亞外交系統在清朝末期逐漸衰落，而西方的國家平等概念逐漸佔據統治地位。', '”的說法完全有誤，實為盲目詆毀中華文明而謅媚西方文明。']","['In addition, ""China\'s dominant East Asian diplomatic system gradually declined in the late Qing Dynasty, while the Western concept of national equality gradually became dominant.', '""The statement is completely wrong. It is actually blindly slandering Chinese civilization and flattering Western civilization.']","[('sd',), ('aa',)]"
在「聲門狀態」一節裏把「slack voice」譯為「清化濁音」，似乎有欠精確。 雖然該條使用清化符號，但據英文維基的解釋那是國際音標的附加符號裏沒有對應符號所致，所以只能用清化符號權充一下。,"['在「聲門狀態」一節裏把「slack voice」譯為「清化濁音」，似乎有欠精確。', '雖然該條使用清化符號，但據英文維基的解釋那是國際音標的附加符號裏沒有對應符號所致，所以只能用清化符號權充一下。']","['In the section ""Glottal State"", the translation of ""slack voice"" as ""voiceless voiced sound"" seems to be inaccurate.', ""Although this article uses Qinghua symbols, according to English Wikipedia's explanation, it is due to the lack of corresponding symbols in the additional symbols of the International Phonetic Alphabet, so we can only use Qinghua symbols to make up for it.""]","[('sd',), ('sd',)]"
第一，南京地区从六朝起有国立学校，这和南京大学的建立有什么直接的联系？ 如果仅仅是地理上的关系而不是直接联系，这个“渊源”就无从说起，因为现在在南京的国立学校不止南京大学一所。,"['第一，南京地区从六朝起有国立学校，这和南京大学的建立有什么直接的联系？', '如果仅仅是地理上的关系而不是直接联系，这个“渊源”就无从说起，因为现在在南京的国立学校不止南京大学一所。']","['First, there have been national schools in Nanjing since the Six Dynasties. What is the direct connection between this and the establishment of Nanjing University?', 'If it is only a geographical relationship rather than a direct connection, this ""origin"" is impossible to talk about, because Nanjing University is not the only national school in Nanjing.']","[('qw',), ('sd',)]"
不同意和平至上閣下的說法。 對於普通香港人來說，有大砲有履帶就叫坦克，那管你是戰車、自走砲還是驅逐戰車。 頂多懂得坦克(履帶)和裝甲車(輪式)罷了。,"['不同意和平至上閣下的說法。', '對於普通香港人來說，有大砲有履帶就叫坦克，那管你是戰車、自走砲還是驅逐戰車。', '頂多懂得坦克(履帶)和裝甲車(輪式)罷了。']","['Disagree with the statement of His Excellency Peace Supreme.', ""For ordinary Hong Kong people, if you have cannons and tracks, you are called a tank. It doesn't matter whether you are a tank, a self-propelled gun, or a tank destroyer."", 'At most, I know tanks (tracked) and armored vehicles (wheeled).']","[(), ('sd',), ('sd',)]"
没错，明眼人都能看出本词条不够中立。 中国早就说了“勿谓言之而不预”，结果通篇志愿军“悄悄”的。 至少应该换成“隐蔽”。,"['没错，明眼人都能看出本词条不够中立。', '中国早就说了“勿谓言之而不预”，结果通篇志愿军“悄悄”的。', '至少应该换成“隐蔽”。']","['Yes, anyone with a discerning eye can see that this entry is not neutral enough.', 'China has long said, ""Don\'t say that you don\'t say it without warning."" As a result, the volunteers were ""quietly"" throughout the article.', 'At least it should be replaced with ""covert"".']","[('aa',), ('sd',), ('sv',)]"
该条目新近刚刚成为优良条目，推测其应为翻译为主。 条目内容全面详细，长度在75000以上，可说不次于另外一个艺术家特色条目亨利•德•土魯斯-羅特列克。 我认为该条目有资格成为特色条目。,"['该条目新近刚刚成为优良条目，推测其应为翻译为主。', '条目内容全面详细，长度在75000以上，可说不次于另外一个艺术家特色条目亨利•德•土魯斯-羅特列克。', '我认为该条目有资格成为特色条目。']","['This article has just recently become an excellent article, and it is speculated that it should be mainly a translation.', 'The content of the entry is comprehensive and detailed, with a length of more than 75,000, which can be said to be no less than that of another artist-specific entry, Henri de Toulouse-Lautrec.', 'I think this article qualifies as a featured article.']","[('sv',), ('sd',), ('sv',)]"
光輝十月，您在PTT發的文章我 也看到了。 請您在封禁日期過後再回來再解釋好嗎？ 如果您使用ip繞過封禁，封禁時間是會雙倍遞增的。,"['光輝十月，您在PTT發的文章我 也看到了。', '請您在封禁日期過後再回來再解釋好嗎？', '如果您使用ip繞過封禁，封禁時間是會雙倍遞增的。']","['Glorious October, I also saw the article you posted on PTT.', 'Could you please come back after the ban date and explain?', 'If you use ip to bypass the ban, the ban time will be doubled.']","[('sd',), ('qh',), ('^q',)]"
某人在梨花的條目之下又加了一條如下：＂興趣是瞞著沙都子喝酒類飲品Bernkastel。 ＂不知資料來源是？ 而且目前的人物介紹以暫不提到解篇劇情為主，印象中梨花可沒在謎篇中喝過酒啊。,"['某人在梨花的條目之下又加了一條如下：＂興趣是瞞著沙都子喝酒類飲品Bernkastel。', '＂不知資料來源是？', '而且目前的人物介紹以暫不提到解篇劇情為主，印象中梨花可沒在謎篇中喝過酒啊。']","['Someone added another item under the entry of Ewha as follows: ""The interest is to drink Bernkastel without telling the truth.', '""I don\'t know the source of the information?', 'Moreover, the current character introduction is mainly based on not mentioning the plot of the story for the time being. In my impression, Lihua has never drank alcohol in the mystery.']","[(), ('^q',), ('sv',)]"
麻烦你不要打开拉丁语维基这个潘多拉魔盒了好不好？ 一开问题一大堆：1.这是自我参照；2.那边也没有来源；3.随便一点，磷是phosphorus，不是辞海上的phosphorum。,"['麻烦你不要打开拉丁语维基这个潘多拉魔盒了好不好？', '一开问题一大堆：1.这是自我参照；2.那边也没有来源；3.随便一点，磷是phosphorus，不是辞海上的phosphorum。']","[""Please don't open the Pandora's box of the Latin wiki, okay?"", 'There are a lot of questions at the beginning: 1. This is self-reference; 2. There is no source there; 3. Casually, phosphorus is phosphorus, not phosphorum in Cihai.']","[('qy',), ('sd',)]"
這種觀點只出現在基督教的歷史材料中。 羅馬在尚未進入基督教信仰前的帝政時代，留下來的材料，從未出現這種說法。 迫害有之，但餵野獸則無。,"['這種觀點只出現在基督教的歷史材料中。', '羅馬在尚未進入基督教信仰前的帝政時代，留下來的材料，從未出現這種說法。', '迫害有之，但餵野獸則無。']","['This view appears only in Christian historical materials.', 'This statement has never appeared in the materials left over from the imperial era before Rome entered the Christian faith.', 'There is persecution, but there is no such thing as feeding wild animals.']","[('sd',), (), ('sv',)]"
那么我以WP:COMMONNAME“一般情况下，常用的名称也是较为简短的，可以避免条目名称过于冗长”请求更名，间距空格在维基百科内容及标题上不必要、通常不加。 空格问题吵过多次了，尚无共识。,"['那么我以WP:COMMONNAME“一般情况下，常用的名称也是较为简短的，可以避免条目名称过于冗长”请求更名，间距空格在维基百科内容及标题上不必要、通常不加。', '空格问题吵过多次了，尚无共识。']","['Then I request to change the name with WP:COMMONNAME ""Generally, commonly used names are relatively short, which can avoid the entry name being too lengthy"". Spacing spaces are unnecessary and usually not added on Wikipedia content and titles.', 'The space issue has been quarreled many times, and there is no consensus yet.']","[('sd',), ('sv',)]"
我先行回退移动。 万望阁下每次移动的时候先三思。 话说我也并不反对“日本年度汉字”，但就算按照常用名称，也不能使用这个罢了。,"['我先行回退移动。', '万望阁下每次移动的时候先三思。', '话说我也并不反对“日本年度汉字”，但就算按照常用名称，也不能使用这个罢了。']","['I move back first.', 'Lord Wanwang, think twice every time you move.', 'By the way, I don\'t object to ""Japanese Kanji of the Year"", but even according to the common name, it can\'t be used.']","[('sd',), ('sd',), ('sd',)]"
國與國的恩怨，與政權與個人的恩怨，一般是兩件完全不同的事情。 把國與國的恩怨發洩到個人身上並非不可能，但那是國家命令種族滅絕罪行，這樣的解釋完全解不通的。,"['國與國的恩怨，與政權與個人的恩怨，一般是兩件完全不同的事情。', '把國與國的恩怨發洩到個人身上並非不可能，但那是國家命令種族滅絕罪行，這樣的解釋完全解不通的。']","['The grievances between countries and the grievances between regimes and individuals are generally two completely different things.', 'It is not impossible to vent the grievances between countries on individuals, but it is a crime of genocide ordered by the state, and such an explanation is completely incomprehensible.']","[('sv',), ('sv',)]"
在下是此條目的主編，首先感謝老陳的支持票。 現時爭論點是腳註數量不足，畢竟基礎物理條目真的很難寫。 但終究此條目以例題為主，很難找到相似的作腳註使用。,"['在下是此條目的主編，首先感謝老陳的支持票。', '現時爭論點是腳註數量不足，畢竟基礎物理條目真的很難寫。', '但終究此條目以例題為主，很難找到相似的作腳註使用。']","['Below is the editor-in-chief of this entry. First of all, I would like to thank Lao Chen for his support ticket.', 'The current point of contention is the insufficient number of footnotes, after all, basic physics entries are really difficult to write.', 'But after all, this article is mainly based on examples, and it is difficult to find similar ones for footnotes.']","[('sd',), ('sv',), ('sv',)]"
及：如果問「為什麼」的話，那條目名稱大概是「綠帽子作為描述妻子與他人通姦之源由」（大意）吧？ 提議考慮「男性的妻子與他人通姦，會被指戴什麼？」。,"['及：如果問「為什麼」的話，那條目名稱大概是「綠帽子作為描述妻子與他人通姦之源由」（大意）吧？', '提議考慮「男性的妻子與他人通姦，會被指戴什麼？」。']","['And: If you ask ""why"", then the title of the entry is probably ""the cuckold as the reason for describing the wife\'s adultery with others"" (roughly)?', 'It is proposed to consider ""What will be accused of a man\'s wife who commits adultery?"".']","[('qy^d',), ('sd',)]"
我不是很懂這段歷史，但認為這條目質量還算不錯。 最下面真的只能這樣條列嗎？ 實在不怎麼美觀，可以說是有些空虛。,"['我不是很懂這段歷史，但認為這條目質量還算不錯。', '最下面真的只能這樣條列嗎？', '實在不怎麼美觀，可以說是有些空虛。']","[""I don't know this history very well, but I think the quality of this article is not bad."", 'Is there really only such a list at the bottom?', ""It's really not very beautiful, it can be said to be a little empty.""]","[('sv',), ('qy',), ('sd',)]"
關於船名GJØA，參考了這個討論的發音，譯爲耶恩號。 以及兩艘船名，瑪格達萊娜號以及比利時人號，和目前的這一詞條以及其他相關詞條的譯名都有細微不同。,"['關於船名GJØA，參考了這個討論的發音，譯爲耶恩號。', '以及兩艘船名，瑪格達萊娜號以及比利時人號，和目前的這一詞條以及其他相關詞條的譯名都有細微不同。']","['Regarding the name of the ship GJØA, referring to the pronunciation of this discussion, it is translated as the Jeen.', 'And the names of the two ships, the Magdalena and the Belgian, are slightly different from the current translation of this entry and other related entries.']","[('sd',), ('sd',)]"
目前的版本格式與排版問題重重，已經到達妨礙正常閱讀的程度，的確是本條目的一大缺點。 條目內容的充實化固然重要，但不應忽視此一問題的存在。,"['目前的版本格式與排版問題重重，已經到達妨礙正常閱讀的程度，的確是本條目的一大缺點。', '條目內容的充實化固然重要，但不應忽視此一問題的存在。']","['The format and typesetting of the current version are full of problems, which have reached the level of hindering normal reading, which is indeed a major shortcoming of this article.', 'The enrichment of the content of the items is important, but the existence of this problem should not be ignored.']","[('sv',), ('sv',)]"
俄國人在撰寫英文版的出版品時，用的也是Su，固然不是原稱，但是在不認識俄文，只能靠英文作輔助的狀況下，這是目前最常見的表示方式。 兩岸習慣用法不同，標題先到先得，內文加上轉換和其他說明。,"['俄國人在撰寫英文版的出版品時，用的也是Su，固然不是原稱，但是在不認識俄文，只能靠英文作輔助的狀況下，這是目前最常見的表示方式。', '兩岸習慣用法不同，標題先到先得，內文加上轉換和其他說明。']","['Russians also use Su when writing English-language publications. Although it is not the original name, it is the most common expression at present when they do not know Russian and can only rely on English for assistance.', 'The idioms on both sides of the strait are different, the title is first come, first served, and the text is added with conversion and other instructions.']","[('sd',), ()]"
台灣通用「尼加拉瀑布」。 中國大陸通用「尼亞加拉（大）瀑布」。 但同名城市 Niagara Falls譯「尼亞加拉瀑布城」而非「尼亞加拉大瀑布城」，故決定用「尼亞加拉瀑布」。,"['台灣通用「尼加拉瀑布」。', '中國大陸通用「尼亞加拉（大）瀑布」。', '但同名城市 Niagara Falls譯「尼亞加拉瀑布城」而非「尼亞加拉大瀑布城」，故決定用「尼亞加拉瀑布」。']","['""Nigara Falls"" is commonly used in Taiwan.', '""Niagara (Great) Falls"" is commonly used in mainland China.', 'However, the city of the same name Niagara Falls translated ""Niagara Falls"" instead of ""Niagara Falls"", so it was decided to use ""Niagara Falls"".']","[('sd',), ('sd',), ('sd',)]"
菲力普·潘的同一篇文章反复介绍了三遍，流水账不说还是翻来覆去的流水账。 中国历史比这个争议多多了，没有看见过这样按作者或者言论类型写的。,"['菲力普·潘的同一篇文章反复介绍了三遍，流水账不说还是翻来覆去的流水账。', '中国历史比这个争议多多了，没有看见过这样按作者或者言论类型写的。']","['The same article by Philip Pan was introduced three times repeatedly, not to mention the running account, which was over and over again.', 'There are many more controversies in Chinese history than this one, and I have never seen it written by author or speech type like this.']","[('sd',), ('sd',)]"
我建議對本劇集中的角色名（那一對韓國夫婦除外）皆採用拉丁字母拼寫。 因為對歐美人名，華語圈内向無統一的漢字轉寫法，且南北方言各異，對音亦無普適性。,"['我建議對本劇集中的角色名（那一對韓國夫婦除外）皆採用拉丁字母拼寫。', '因為對歐美人名，華語圈内向無統一的漢字轉寫法，且南北方言各異，對音亦無普適性。']","['I recommend using the Latin alphabet for all character names in this episode (except for the Korean couple).', 'Because there is no unified method of transliterating Chinese characters in the Chinese-speaking circle for European and American names, and the dialects in the north and the south are different, and there is no universal applicability in phonetics.']","[('sd',), ('+',)]"
我幫閣下修改一下格式，有點亂，不習慣。 好啦，接著我來討論了。 我覺得你似乎對於翻譯不是很在行，你似乎不是很清楚翻譯要怎麼去翻。,"['我幫閣下修改一下格式，有點亂，不習慣。', '好啦，接著我來討論了。', '我覺得你似乎對於翻譯不是很在行，你似乎不是很清楚翻譯要怎麼去翻。']","[""Let me modify the format for you, it's a bit messy and I'm not used to it."", 'Alright, let me talk about it.', ""I think you don't seem to be very good at translation, and you don't seem to know how to translate it.""]","[(), (), ('sv',)]"
5月27日三万义和团拳民英雄占领涿州，是义和团有组织的大规模武力活动开始时期，也正是在这时开始大规模拆毁铁路。 这时拆毁铁路是完全有必要的，根据作战需要决定的。,"['5月27日三万义和团拳民英雄占领涿州，是义和团有组织的大规模武力活动开始时期，也正是在这时开始大规模拆毁铁路。', '这时拆毁铁路是完全有必要的，根据作战需要决定的。']","[""On May 27th, 30,000 Boxers of the Boxers occupied Zhuozhou. This was the beginning of the Boxer's organized large-scale armed activities, and it was at this time that the railways were demolished on a large scale."", 'At this time, it is absolutely necessary to dismantle the railway, and it is decided according to the needs of the operation.']","[('sd',), ('sd',)]"
目前的历史部分偏重于讲述景德镇陶瓷发展史，这虽然是景德镇历史的重要组成部分，但绝不应该成为全部。 建议将陶瓷发展史抽出条目，单立一个景德镇陶瓷发展史的条目，之后把景德镇的历史段落重新改写一番。,"['目前的历史部分偏重于讲述景德镇陶瓷发展史，这虽然是景德镇历史的重要组成部分，但绝不应该成为全部。', '建议将陶瓷发展史抽出条目，单立一个景德镇陶瓷发展史的条目，之后把景德镇的历史段落重新改写一番。']","[""The current history part focuses on the history of Jingdezhen ceramics development. Although this is an important part of Jingdezhen's history, it should never be the whole."", 'It is suggested to extract the entry of the history of ceramic development, and set up a separate entry for the history of Jingdezhen ceramic development, and then rewrite the historical paragraph of Jingdezhen.']","[('sv',), ('sd',)]"
它的实际运营速度是160km/h，这个参数最重要。 设计时速并不能代表实际能跑的速度，至于通过提高电压，减少编组跑出来的瞬时速度，就更不能代表实际速度了。,"['它的实际运营速度是160km/h，这个参数最重要。', '设计时速并不能代表实际能跑的速度，至于通过提高电压，减少编组跑出来的瞬时速度，就更不能代表实际速度了。']","['Its actual operating speed is 160km/h, and this parameter is the most important.', 'The design speed does not represent the actual running speed. As for the instantaneous speed of reducing the marshalling by increasing the voltage, it cannot represent the actual speed.']","[('sd',), ('sd',)]"
即使您並不常編寫相關條目，也不代表您可以無視尊重各地區譯名的守則。 而您的回應亦真的很搞笑，福田自己就是說沿用，您硬是把字打錯成延用來反駁沿用一詞，根本就毫無理據。,"['即使您並不常編寫相關條目，也不代表您可以無視尊重各地區譯名的守則。', '而您的回應亦真的很搞笑，福田自己就是說沿用，您硬是把字打錯成延用來反駁沿用一詞，根本就毫無理據。']","[""Even if you don't write articles about it often, it doesn't mean you can disregard the rules of respecting regional translations."", 'And your response is really funny, Fukuda himself said to continue to use, but you just typed the word ""extend"" to refute the word ""continue to use"", there is no reason at all.']","[('sv',), ('sd',)]"
CAS222222221的回应已经相当清楚了，如果有证据显示Minecraft原名在台湾更为常用，您提供可靠证据后可以对转换进行调整。 但本条目名称最初为大陆先到先得，无法移动。,"['CAS222222221的回应已经相当清楚了，如果有证据显示Minecraft原名在台湾更为常用，您提供可靠证据后可以对转换进行调整。', '但本条目名称最初为大陆先到先得，无法移动。']","[""CAS222222221's response is quite clear, if there is evidence that the original name of Minecraft is more commonly used in Taiwan, you can adjust the conversion after you provide reliable evidence."", 'But this entry title was originally Continental First Come First Served and cannot be moved.']","[('sd',), ('sd',)]"
“德國化學家利奧波德·格梅林對這個理論進行了研究，並在1843年證實了10個三元素組、3個四元素組和1個五元素組的存在。 讓-巴蒂斯特·杜馬在1857年發表文章，描述了不同族金屬之間的關係。,"['“德國化學家利奧波德·格梅林對這個理論進行了研究，並在1843年證實了10個三元素組、3個四元素組和1個五元素組的存在。', '讓-巴蒂斯特·杜馬在1857年發表文章，描述了不同族金屬之間的關係。']","['""The German chemist Leopold Gemeling worked on this theory and in 1843 confirmed the existence of 10 triads, 3 tetrads and 1 pentad.', 'Jean-Baptiste Dumas published an article in 1857 describing the relationship between different groups of metals.']","[('sd',), ('sd',)]"
首先，根据WP:共识，“编辑摘要很有用，但不要通过大量的编辑摘要去讨论争议——这实际上是编辑战，并有可能招致制裁。 ”因此，请考虑以谈判方式解决问题，而非反复回退。,"['首先，根据WP:共识，“编辑摘要很有用，但不要通过大量的编辑摘要去讨论争议——这实际上是编辑战，并有可能招致制裁。', '”因此，请考虑以谈判方式解决问题，而非反复回退。']","['First, according to WP:Consensus, ""Editorial summaries are useful, but don\'t go through a lot of editorial summaries to discuss controversies—it\'s effectively editorial warfare, and can lead to sanctions.', '""So consider negotiating a solution rather than rolling back and forth.']","[('sv',), ('^q',)]"
對於棒球類漫畫，或許有某部分人會有激動的不恰當言詞出現。 所以希望在這條目討倫時，情先看看下面幾點注意事項。 談論時，請以這條目作品為主討論。,"['對於棒球類漫畫，或許有某部分人會有激動的不恰當言詞出現。', '所以希望在這條目討倫時，情先看看下面幾點注意事項。', '談論時，請以這條目作品為主討論。']","['For baseball cartoons, some people may have excited inappropriate words.', 'So I hope that when discussing this article, I will first take a look at the following points for attention.', 'When discussing, please focus on this article.']","[('sv',), ('sd',), ('ad',)]"
閣下給出的參考來源，足以證明有重要觀點（民主律師國際協會）認為，「朝鮮戰爭中存在細菌戰，而該細菌戰中存在種族滅絕」。 故可以加入。 在下收回「未有參考來源支持」之說法。,"['閣下給出的參考來源，足以證明有重要觀點（民主律師國際協會）認為，「朝鮮戰爭中存在細菌戰，而該細菌戰中存在種族滅絕」。', '故可以加入。', '在下收回「未有參考來源支持」之說法。']","['The references you have given are sufficient to prove that there is an important point (Democratic Lawyers International Association) that ""in the Korean War there was germ warfare, and in that germ warfare there was genocide"".', 'So you can join.', 'The statement ""without support from reference sources"" is retracted below.']","[('^q',), ('sd',), ('sd',)]"
没有明显改善。 其实条目有更多的问题。 看在主编是新手的份上，暂时不打算投反对票。,"['没有明显改善。', '其实条目有更多的问题。', '看在主编是新手的份上，暂时不打算投反对票。']","['No significant improvement.', 'Actually the entry has more problems.', ""Since the editor-in-chief is a novice, I don't plan to vote against it for the time being.""]","[('sv',), ('sd',), ('sd',)]"
您好， 您說「Wetrace自己也承认过是中立化」，當時的情境、前言後語是什麼，您要不要恢復一下？ 請別斷章取義。 在下從不認為目前的條目是「中立」的。,"['您好， 您說「Wetrace自己也承认过是中立化」，當時的情境、前言後語是什麼，您要不要恢復一下？', '請別斷章取義。', '在下從不認為目前的條目是「中立」的。']","['Hello, you said ""Wetrace himself admitted to being neutral"", what was the situation and preface at that time, would you like to restore it?', ""Please don't take it out of context."", 'I never consider the current article to be ""neutral"".']","[('qy',), ('ad',), ('sv',)]"
您好， 您是否要再確定您的作法是否符合管理員方針？ 您維護其他用戶添加的內容，即屬於您的編輯意見，在上面也有許多討論。 實際上，您對此條目議題參與許多編輯。,"['您好， 您是否要再確定您的作法是否符合管理員方針？', '您維護其他用戶添加的內容，即屬於您的編輯意見，在上面也有許多討論。', '實際上，您對此條目議題參與許多編輯。']","['Hello, Would you like to double-check that your actions comply with administrator guidelines?', 'You maintain the content added by other users, which is your editorial opinion, and there are many discussions on it.', 'In fact, you contributed to many editors on this topic.']","[('qy',), ('sv',), ('sd',)]"
按照中文维基的惯例，名为“XXXX系列”的游戏条目会着重介绍游戏作品及其发展史，同名的角色一般会在单独条目介绍。 现在的条目是将角色和作品列表放到一起，而且角色列表太太太长了，不便于阅读。,"['按照中文维基的惯例，名为“XXXX系列”的游戏条目会着重介绍游戏作品及其发展史，同名的角色一般会在单独条目介绍。', '现在的条目是将角色和作品列表放到一起，而且角色列表太太太长了，不便于阅读。']","['According to the practice of Chinese Wikipedia, game entries named ""XXXX series"" will focus on introducing game works and their development history, and characters with the same name will generally be introduced in separate entries.', 'The current entry is a list of characters and works together, and the list of characters is too long to be easy to read.']","[('sd',), ('sd',)]"
我覺得既然人家已經自取中文化譯名，為何還要音譯中文名字呢？ 陸克文這名字其實也算是音譯的名字，只是姓名順序換過來而已。 而且中文譯名也只會在中文媒體上流行，只要譯名不是亂譯，有其邏輯性就不會不尊重。,"['我覺得既然人家已經自取中文化譯名，為何還要音譯中文名字呢？', '陸克文這名字其實也算是音譯的名字，只是姓名順序換過來而已。', '而且中文譯名也只會在中文媒體上流行，只要譯名不是亂譯，有其邏輯性就不會不尊重。']","['I think since people have already taken their own Chinese translation names, why do they need to transliterate Chinese names?', 'The name Lu Kewen is actually a transliterated name, but the order of the names is reversed.', 'Moreover, the Chinese translation will only be popular in the Chinese media. As long as the translation is not a random translation and has its logic, it will not be disrespected.']","[(), ('sd',), ('sv',)]"
