Utterance,Sentences,Translated Sentences,Dialog Acts
やはり理解されておられないようです。 英語版記事を「凌駕する」といっても、それはただ分量が多いだけであり、「内容」の質は伴っていません…そうです、まさにその通りです。,"['やはり理解されておられないようです。', '英語版記事を「凌駕する」といっても、それはただ分量が多いだけであり、「内容」の質は伴っていません…そうです、まさにその通りです。']","[""It seems that you still don't understand."", 'When I say ""surpasses"" the English version, it\'s just the sheer volume, not the quality of the ""content""... Yes, that\'s right.']","[('sv',), ('sv',)]"
個人的には現状がベストなのですが、落とし所として以下のようにしてはどうでしょうか。 私の主張としては、要出典の部分を記事に残しておくのはどうかと思う。,"['個人的には現状がベストなのですが、落とし所として以下のようにしてはどうでしょうか。', '私の主張としては、要出典の部分を記事に残しておくのはどうかと思う。']","['Personally, the current situation is the best, but how about doing the following as a place to get rid of it?', ""As for my argument, I don't think it's a good idea to leave the citation needed part in the article.""]","[('qo',), ('sv',)]"
PVや累計ランキング一位が書籍化に繋がったという出典は？ 書籍化した背景を語るのであればそれが必要でしょう。,"['PVや累計ランキング一位が書籍化に繋がったという出典は？', '書籍化した背景を語るのであればそれが必要でしょう。']","['What is the source that the PV and the cumulative ranking number one led to the book?', 'If you talk about the background of the book, it will be necessary.']","[('qw',), ('sv',)]"
例えば、チベット仏教を専門とされる大学教授があなたの個人解釈を明確に否定しています。 現代語訳だろうが中国語訳だろうが１００年も前の史料は一次資料の粋を出ません。,"['例えば、チベット仏教を専門とされる大学教授があなたの個人解釈を明確に否定しています。', '現代語訳だろうが中国語訳だろうが１００年も前の史料は一次資料の粋を出ません。']","['For example, a university professor who specializes in Tibetan Buddhism clearly denies your personal interpretation.', 'Whether it is a modern translation or a Chinese translation, a historical document from 100 years ago does not show the essence of a primary source.']","[('sv',), ('sv',)]"
内容が当たり前すぎるので、これの出典を探すのは難しかろうという判断が一つ。 同時に、当たり前すぎるので、出典無しでも大丈夫だろうという判断が一つ。,"['内容が当たり前すぎるので、これの出典を探すのは難しかろうという判断が一つ。', '同時に、当たり前すぎるので、出典無しでも大丈夫だろうという判断が一つ。']","['One judgment is that it will be difficult to find the source of this because the content is too obvious.', 'At the same time, it is too obvious, so one judgment is that it will be okay without a source.']","[('sv',), ('sv',)]"
かたつむりの殻の巻き方について、間違えている部分があるため編集させていただきました。 （誤）殻の口が右にあれば右巻き、左にあれば左巻きである。,"['かたつむりの殻の巻き方について、間違えている部分があるため編集させていただきました。', '（誤）殻の口が右にあれば右巻き、左にあれば左巻きである。']","['I edited it because there was a mistake about how to wrap the snail shell.', '(Incorrect) If the mouth of the shell is on the right, it is right-handed, and if it is on the left, it is left-handed.']","[('sd',), ('aa',)]"
Yasu様。 お返事、ありがとうございます。 HTTHの意見の表現に不足がありましたので、補足します。,"['Yasu様。', 'お返事、ありがとうございます。', 'HTTHの意見の表現に不足がありましたので、補足します。']","['Mr. Yasu.', 'thank you for your reply.', ""Since there was a lack of expression of HTTH's opinion, I will supplement it.""]","[(), ('fc',), ('sd',)]"
主観そのものが能動的な行為ですから、主観の要素がある形容は能動的な要素がある行為だと思いませんかね。 —以上の署名の無いコメントは、218.45.163.89（会話・履歴）氏によるものです。,"['主観そのものが能動的な行為ですから、主観の要素がある形容は能動的な要素がある行為だと思いませんかね。', '—以上の署名の無いコメントは、218.45.163.89（会話・履歴）氏によるものです。']","[""Since subjectivity itself is an active act, don't you think that an adjective with an element of subjectivity is an act with an active element?"", '— The above unsigned comment is by Mr. 218.45.163.89 (conversation/history).']","[('qy',), ('sd',)]"
上記について一言申し上げます。 三次資料であるWikipediaの記載は、原則として信頼できる第三者により検証された「二次資料」を出典として提示することが求められます。,"['上記について一言申し上げます。', '三次資料であるWikipediaの記載は、原則として信頼できる第三者により検証された「二次資料」を出典として提示することが求められます。']","['I would like to say a few words about the above.', 'Wikipedia, which is a tertiary source, is required, in principle, to present ""secondary sources"" that have been verified by a reliable third party as a source.']","[('sd',), ('sd',)]"
「朝鮮の事物」テンプレートが付与されていましたが、これは不正確ですので、除去しました。 この隋による高句麗遠征は、隋と高句麗両国の交戦であって、「朝鮮」のみの歴史ではもちろんありません。,"['「朝鮮の事物」テンプレートが付与されていましたが、これは不正確ですので、除去しました。', 'この隋による高句麗遠征は、隋と高句麗両国の交戦であって、「朝鮮」のみの歴史ではもちろんありません。']","['A ""Korean things"" template was provided, which was inaccurate and has been removed.', ""This expedition to Goguryeo by the Sui Dynasty is a battle between the Sui dynasty and Goguryeo, and of course it is not only the history of 'Korea'.""]","[('sd',), ('sd',)]"
特に新幹線がメインで扱われているとは思えないものを省いてみました。 アニメ作品は『映画・テレビ・映像』に移しました。 勇者シリーズは鉄道をモチーフにした作品もあるので残しました。,"['特に新幹線がメインで扱われているとは思えないものを省いてみました。', 'アニメ作品は『映画・テレビ・映像』に移しました。', '勇者シリーズは鉄道をモチーフにした作品もあるので残しました。']","[""In particular, I tried to omit things that I don't think the Shinkansen is the main one."", 'Animation works have been moved to ""Film/TV/Film"".', 'I left the Brave series because there are works with railway motifs.']","[('sv',), (), ('sd',)]"
生態の節は、かなり前からＫｓさんご提示のサイトからの転載だったようです。 転載以前の版の文章で置き換えて、Wikipedia:削除依頼/オニヒトデを提出しました。,"['生態の節は、かなり前からＫｓさんご提示のサイトからの転載だったようです。', '転載以前の版の文章で置き換えて、Wikipedia:削除依頼/オニヒトデを提出しました。']","['The ecology section seems to have been reprinted from the site presented by Mr. Ks for quite some time.', 'I replaced it with the text of the version before reprinting and submitted Wikipedia:Deletion request/Crown-of-thorns starfish.']","[('sd',), ('sd',)]"
p.s. お返事遅れることがあるかもしれませんが、ご了承ください。 ちょっと遅くなってすみません。,"['p.s. お返事遅れることがあるかもしれませんが、ご了承ください。', 'ちょっと遅くなってすみません。']","['p.s. Please understand that there may be a delay in replying.', 'Sorry for being a little late.']","[(), ('fa',)]"
重複というほど重複なのでしょうか。 そもそも最初に論議してもよいと思うのですが、いままで何度にもわたる一方的に「取り消し」には困惑しています。,"['重複というほど重複なのでしょうか。', 'そもそも最初に論議してもよいと思うのですが、いままで何度にもわたる一方的に「取り消し」には困惑しています。']","['Is it so repetitive as to be repetitive?', 'In the first place, I think it\'s okay to discuss it first, but I\'m confused by the unilateral ""cancellation"" that has been repeated many times.']","[('qy',), ('sd',)]"
兵器の記事の作成提案   機動戦士ガンダムSEED DESTINYの兵器一覧の作成を提案。 現在項目が非常に多く、記述も散見しているため、どこに何があるのか少々わかり辛い状態となっています。,"['兵器の記事の作成提案   機動戦士ガンダムSEED DESTINYの兵器一覧の作成を提案。', '現在項目が非常に多く、記述も散見しているため、どこに何があるのか少々わかり辛い状態となっています。']","['Proposal to create articles on weapons Proposed to create a list of weapons for Mobile Suit Gundam SEED DESTINY.', 'Currently, there are a lot of items, and the descriptions are scattered, so it is a little difficult to understand where is what.']","[('sd',), ()]"
保護までされた御仁は、そこまでして批判されてるという事実を封殺したいのですかね。 オウム真理教の記事に「教団のマイナス要素となるのでサリン事件等の事は書くな」と言ってるような物です。,"['保護までされた御仁は、そこまでして批判されてるという事実を封殺したいのですかね。', 'オウム真理教の記事に「教団のマイナス要素となるのでサリン事件等の事は書くな」と言ってるような物です。']","['Do you want to suppress the fact that you are being criticized for being protected?', 'It\'s like saying ""Don\'t write about things like the sarin attack because it will be a negative factor for the cult"" in the Aum Shinrikyo article.']","[(), ('sv',)]"
『総理の値打ち』を確認の上で、近衛文麿と東條英機は『総理大臣の採点表』→『総理の値打ち』に書き換えました。 しかし、米内光政は放置します。 まず近衛文麿の記述は『総理の値打ち』にもありました。,"['『総理の値打ち』を確認の上で、近衛文麿と東條英機は『総理大臣の採点表』→『総理の値打ち』に書き換えました。', 'しかし、米内光政は放置します。', 'まず近衛文麿の記述は『総理の値打ち』にもありました。']","['After confirming ""Prime Minister\'s Worth"", Fumimaro Konoe and Tojo Hideki rewrote ""Prime Minister\'s Scoring Table"" → ""Prime Minister\'s Worth"".', 'However, Mitsumasa Yonai leaves it alone.', 'First of all, Konoe Fumimaro\'s description was also in ""Sumi-no-waku"".']","[('sd',), ('sd',), ('sd',)]"
上記ローカルルールのテンプレートを早期に装着したい。 と思っております。 やはり非公式攻略本や非公式攻略情報サイトの情報を載せる方が多い。,"['上記ローカルルールのテンプレートを早期に装着したい。', 'と思っております。', 'やはり非公式攻略本や非公式攻略情報サイトの情報を載せる方が多い。']","['I want to install the above local rule template early.', 'We think.', 'After all, there are many people who post information from unofficial strategy guides and unofficial strategy information sites.']","[('sd',), (), ('sd',)]"
2006年5月19日13:25の版で「左寄りのルー」となっていた箇所を「左利きのルー」としました。 これは Lefty Lou の訳だと思います。,"['2006年5月19日13:25の版で「左寄りのルー」となっていた箇所を「左利きのルー」としました。', 'これは Lefty Lou の訳だと思います。']","['In the version dated May 19, 2006, 13:25, ""left-handed Lou"" was changed to ""left-handed Lou"".', 'I think this is a translation of Lefty Lou.']","[('sd',), ('sd',)]"
どうも「加害者の傾向」について、出典に無い主観が混在しているようです。 出典となっているなど、いろいろ確認したのですが、直接「加害者の傾向」についての明確な記載や質問はありませんでした。,"['どうも「加害者の傾向」について、出典に無い主観が混在しているようです。', '出典となっているなど、いろいろ確認したのですが、直接「加害者の傾向」についての明確な記載や質問はありませんでした。']","['There seems to be a mixture of subjectivity that is not in the source about ""the perpetrator\'s tendency"".', 'I checked various things, such as the source, but there was no clear description or question about ""the perpetrator\'s tendency"" directly.']","[('sv',), ('sd',)]"
基本的に、私は時間の取れるときにコメントしています。 不定期で申し訳ないとは思いますが、私はウィキペディアで食っているわけではないので（笑）、やむをえません。,"['基本的に、私は時間の取れるときにコメントしています。', '不定期で申し訳ないとは思いますが、私はウィキペディアで食っているわけではないので（笑）、やむをえません。']","['Basically, I comment when I have time.', ""I apologize for the irregularity, but I don't live on Wikipedia (laughs), so I can't help it.""]","[('sd',), ('sd',)]"
議論は終わっているようですが一言。 スペイン語とポルトガル語は近い言語ですが、音声体系はかなり異なります。 スペイン語のzは無声音ですが、ポルトガル語ではzは有声音です。,"['議論は終わっているようですが一言。', 'スペイン語とポルトガル語は近い言語ですが、音声体系はかなり異なります。', 'スペイン語のzは無声音ですが、ポルトガル語ではzは有声音です。']","['It seems that the discussion is over, but just a word.', 'Although Spanish and Portuguese are close languages, their phonetic systems are quite different.', 'Spanish z is unvoiced, but in Portuguese z is voiced.']","[('sd',), ('sd',), ('sd',)]"
こんにちは。 『百科事典は啓蒙主義を基盤として真実を編纂するものですが』違います。,"['こんにちは。', '『百科事典は啓蒙主義を基盤として真実を編纂するものですが』違います。']","['Hello.', ""``An encyclopedia compiles truth on the basis of the Enlightenment.'' No.""]","[('fp',), ()]"
2011年6月26日 (日) 06:26の編集は、出典を示すこともなく要出典タグを勝手に剥がしている。 重大なルール違反。 同タグを除去できるのは出典を示した時だけ。,"['2011年6月26日 (日) 06:26の編集は、出典を示すこともなく要出典タグを勝手に剥がしている。', '重大なルール違反。', '同タグを除去できるのは出典を示した時だけ。']","['June 26th, 2011 (Sunday) 06:26 Edit without indicating the source and arbitrarily peeling off the citation required tag.', 'Serious rule violation.', 'The tag can only be removed if the source is indicated.']","[(), (), ('sd',)]"
> 議論が成立していないのは、私のコメント及び上の節をよく読んでいただけていないからではないかと思います。 最初にしたコメントで十分だと考えていたのですが、もう一度必要なようですね。,"['> 議論が成立していないのは、私のコメント及び上の節をよく読んでいただけていないからではないかと思います。', '最初にしたコメントで十分だと考えていたのですが、もう一度必要なようですね。']","['> I think that the reason why the discussion is not established is because you did not read my comment and the above section carefully.', 'I thought my first comment was enough, but it looks like I need it again.']","[('sv',), ('sd',)]"
コメント依頼から来ました。 感想レベルのコメントです。 でちょっとどこにコメントするか逡巡しつつ（てきとーなところに移していただければ）。,"['コメント依頼から来ました。', '感想レベルのコメントです。', 'でちょっとどこにコメントするか逡巡しつつ（てきとーなところに移していただければ）。']","[""I'm here for a comment request."", 'This is an emotional level comment.', ""So I'm a bit hesitant about where to comment (if you can move it to the right place).""]","[('sd',), ('sv',), ('sd',)]"
全てを市場に任せればいいと考える人たちは本当にいますよ。 現代では思想において原理主義という用語を使う場合の方が多いです。 あと、マルクス主義も科学というより原理主義思想です。,"['全てを市場に任せればいいと考える人たちは本当にいますよ。', '現代では思想において原理主義という用語を使う場合の方が多いです。', 'あと、マルクス主義も科学というより原理主義思想です。']","['There are really people out there who think that everything should be left to the market.', 'In modern times, the term fundamentalism is often used in thought.', 'Also, Marxism is a fundamentalist thought rather than a science.']","[('sv',), ('sv',), ('sd',)]"
もちろんカテゴリーも改名提案するつもりですが、一度には無理なので、まずは団体名の改名を提案しました。 王座関連も改名を提案する予定です。,"['もちろんカテゴリーも改名提案するつもりですが、一度には無理なので、まずは団体名の改名を提案しました。', '王座関連も改名を提案する予定です。']","[""Of course, I'm going to propose renaming the categories, but it's impossible to do it all at once, so I proposed renaming the groups first."", 'We also plan to propose a name change for the throne.']","[('sd',), ('sd',)]"
UNIXでさらにくくってしまうのは誤りだと思います。 トヨタ車の話を自動車の車種の話等でひとくくりにするのと同じです。,"['UNIXでさらにくくってしまうのは誤りだと思います。', 'トヨタ車の話を自動車の車種の話等でひとくくりにするのと同じです。']","[""I think it's a mistake to wrap things up even more in UNIX."", 'It is the same as lumping the story of Toyota cars into the story of car models.']","[('sv',), ('sv',)]"
わざとです。 ここで、tarはコマンドの名前および解説ですし、SMFはStandard Midi Fileの略でファイルである意味が明示されています。 その点において前2者とは異なります。,"['わざとです。', 'ここで、tarはコマンドの名前および解説ですし、SMFはStandard Midi Fileの略でファイルである意味が明示されています。', 'その点において前2者とは異なります。']","[""It's on purpose."", 'Here, tar is the name and description of the command, and SMF is an abbreviation for Standard Midi File, which clearly indicates that it is a file.', 'In that respect, it differs from the former two.']","[('sd',), ('sd',), ('sd',)]"
さかきばらたいらさん　ご存じと思いますが、「仮訳」は、内容の正確性は保証できないが日本語訳を示すことが重要な場合に用いられる表現です。 SDGsの場合は外務省が早い段階で出しています。,"['さかきばらたいらさん\u3000ご存じと思いますが、「仮訳」は、内容の正確性は保証できないが日本語訳を示すことが重要な場合に用いられる表現です。', 'SDGsの場合は外務省が早い段階で出しています。']","['Mr. Taira Sakibara: As you probably know, ""provisional translation"" is an expression used when it is important to indicate the Japanese translation, although the accuracy of the content cannot be guaranteed.', 'In the case of the SDGs, the Ministry of Foreign Affairs issued them at an early stage.']","[('sd',), ('sd',)]"
私も現時点において、各部の登場人物記事の分割は不要だと思っていますし、行うべきではないでしょう。 それよりも前にもっとストーリーや用語、作品の評価などについて大幅に加筆する必要があります。,"['私も現時点において、各部の登場人物記事の分割は不要だと思っていますし、行うべきではないでしょう。', 'それよりも前にもっとストーリーや用語、作品の評価などについて大幅に加筆する必要があります。']","[""At this point, I also don't think it's necessary to separate the character articles for each part, and I don't think it should be done."", 'Before that, I need to add a lot more to the story, terminology, evaluation of the work, and so on.']","[('sv',), ('sd',)]"
このページは2度削除されています。 削除についての議論は ノート:リネージュ/削除、Wikipedia:削除依頼/リネージュをご覧下さい。,"['このページは2度削除されています。', '削除についての議論は ノート:リネージュ/削除、Wikipedia:削除依頼/リネージュをご覧下さい。']","['This page has been deleted twice.', 'See Notes:Lineage/Deletion and Wikipedia:Deletion requests/Lineage for a discussion of deletion.']","[('sd',), ()]"
今現在、出身地が石川県となっていますが、公式サイトのプロフィールには神奈川県となっていました。 その他、雑誌らも見てみたんですが、神奈川県となっています。,"['今現在、出身地が石川県となっていますが、公式サイトのプロフィールには神奈川県となっていました。', 'その他、雑誌らも見てみたんですが、神奈川県となっています。']","['Currently, my hometown is Ishikawa Prefecture, but the profile on the official website was Kanagawa Prefecture.', 'In addition, I looked at magazines, but it is Kanagawa prefecture.']","[('sd',), ('sd',)]"
「恐らくモデルはアドルフ・ヒトラー」の根拠はどこにあるのでしょうか？ 英語版の方には記載がありませんが。,"['「恐らくモデルはアドルフ・ヒトラー」の根拠はどこにあるのでしょうか？', '英語版の方には記載がありませんが。']","['Where is the basis for ""probably the model is Adolf Hitler""?', 'There is no description in the English version.']","[('qw',), ('sd',)]"
レス有り難うございます。 そもそも私が関与できないので、ここで知らせているのです。 要するに彼は私が消した痕跡があったので、何も考えずに復帰させたのでしょう。,"['レス有り難うございます。', 'そもそも私が関与できないので、ここで知らせているのです。', '要するに彼は私が消した痕跡があったので、何も考えずに復帰させたのでしょう。']","['Thank you for the res.', ""Since I can't be involved in the first place, I'm letting you know here."", 'In short, he had traces of what I had erased, so I guess he reinstated it without giving it a second thought.']","[('ft',), ('sd',), ('sd',)]"
この項目に  国家の主権を保障するのは軍隊のみであり、軍隊の無条件降伏は政府の主権喪失に他ならない。 との注記が挿入されています。,"['この項目に  国家の主権を保障するのは軍隊のみであり、軍隊の無条件降伏は政府の主権喪失に他ならない。', 'との注記が挿入されています。']","['Only the military can guarantee national sovereignty in this item, and the unconditional surrender of the military is nothing but the loss of government sovereignty.', 'A note has been inserted.']","[('sv',), ('sd',)]"
むくげについての削除理由です。 1．わざわざ「○○の国花｣と書く(それも一番上に)必要は無い。 ヒマワリはロシアの国花だが、ヒマワリのページにそんな事はどこにも書いてない。,"['むくげについての削除理由です。', '1．わざわざ「○○の国花｣と書く(それも一番上に)必要は無い。', 'ヒマワリはロシアの国花だが、ヒマワリのページにそんな事はどこにも書いてない。']","['This is the reason for removing the mukuge.', '1. There is no need to write ""○○\'s national flower"" (at the top).', 'The sunflower is the national flower of Russia, but nowhere does it say that on the sunflower page.']","[('sv',), (), ()]"
リリーではなく、ゲーテのほうの妹です。 文脈からするとそう見えるかもしれませんね。,"['リリーではなく、ゲーテのほうの妹です。', '文脈からするとそう見えるかもしれませんね。']","[""Goethe's sister, not Lily's."", 'It might seem that way from the context.']","[('sd',), ('sv',)]"
＞Batholith　さん 　リンクを消した理由がわかりません。 ＞11番「ギター」のなにが、バッテリー電源を後ろに引っ張る。 そして、その 電源車両も自走して追従する。,"['＞Batholith\u3000さん \u3000リンクを消した理由がわかりません。', '＞11番「ギター」のなにが、バッテリー電源を後ろに引っ張る。', 'そして、その 電源車両も自走して追従する。']","["">Batholith, I don't understand why you deleted the link."", '>What\'s in number 11 ""Guitar"" pulls the battery power back.', 'Then, the power supply vehicle also runs on its own and follows.']","[('t3',), ('sd',), ('sd',)]"
整理ありがとうございます。 私では、表演の記事を立てることができない為、しばらくは、「表演競技」と関連項目に貼って置くだけにします。 最初から、記事は詳しい方にお任せするつもりでした。,"['整理ありがとうございます。', '私では、表演の記事を立てることができない為、しばらくは、「表演競技」と関連項目に貼って置くだけにします。', '最初から、記事は詳しい方にお任せするつもりでした。']","['Thank you for organizing.', 'Since I can\'t write articles about performances, for the time being, I\'ll just put them in the ""Performance Competition"" and related items.', 'From the beginning, I was going to leave the article to the more knowledgeable.']","[('fc',), ('sd',), ('sd',)]"
コメントありがとうございます。 私も全てが価値のないものとは思いませんし、バンドと社会との関わりを示す重要な指標の一つというのも理解はできます。,"['コメントありがとうございます。', '私も全てが価値のないものとは思いませんし、バンドと社会との関わりを示す重要な指標の一つというのも理解はできます。']","['Thank you for your comment.', 'I do not think that everything is worthless, and I can understand that it is one of the important indicators of the relationship between the band and society.']","[('fc',), ('sv',)]"
ゴッドハンド輝についての項目が加筆されました。 私は未読なのですが、記事を読む限り、本事故を題材にしたとは言い過ぎのように思います。,"['ゴッドハンド輝についての項目が加筆されました。', '私は未読なのですが、記事を読む限り、本事故を題材にしたとは言い過ぎのように思います。']","['An item about God Hand Akira has been added.', 'I have not read the article, but as far as I have read the article, I think it is an exaggeration to say that this accident was the subject matter.']","[('sd',), ()]"
さらに言えば、他の、「無加害原則」は、無加害だけでなく「無危害」「不傷害」等々、色々です。 与益原則の方は「善行原則」やら。,"['さらに言えば、他の、「無加害原則」は、無加害だけでなく「無危害」「不傷害」等々、色々です。', '与益原則の方は「善行原則」やら。']","['In addition, there are various other ""non-harming principles"" such as ""no harm"", ""no injury"", etc.', 'The benefit principle is the ""principle of good deeds"".']","[('sd',), ('sv',)]"
よく読んでみると内容も矛盾してますね。 持ち運びが困難なものに対して使われることはないのに、何でトレーラーが例にあがるのでしょうか。 Modehaさんは、トレーラーを持ち運べるんですか?,"['よく読んでみると内容も矛盾してますね。', '持ち運びが困難なものに対して使われることはないのに、何でトレーラーが例にあがるのでしょうか。', 'Modehaさんは、トレーラーを持ち運べるんですか?']","['If you read it carefully, you will find that it is contradictory.', ""Why would a trailer be an example if it's not used for things that are difficult to carry?"", 'Modeha, can you carry the trailer?']","[('sv',), ('qw',), ('qy',)]"
チャクラという項目は科学用語ではありません。 宗教学的、文化人類学的な事項です。 Brown Houndさんのご意見は全く不適当です。,"['チャクラという項目は科学用語ではありません。', '宗教学的、文化人類学的な事項です。', 'Brown Houndさんのご意見は全く不適当です。']","['The term chakra is not a scientific term.', 'It is a matter of religious studies and cultural anthropology.', ""Brown Hound's comment is totally inappropriate.""]","[('sd',), ('sd',), ('sd',)]"
文中に示したように、節によって英語版を参照したのかどうか、どの特定版か不明です。 分類体系#事業分類学のメイン記事は:en:Enterprise_taxonomy。,"['文中に示したように、節によって英語版を参照したのかどうか、どの特定版か不明です。', '分類体系#事業分類学のメイン記事は:en:Enterprise_taxonomy。']","['As indicated in the text, it is unclear to which specific edition the English edition was referenced by the passage.', 'The main article on Taxonomy #Business taxonomy is: en:Enterprise_taxonomy.']","[('sd',), ('sd',)]"
すみません！ 外部リンクのところと見るの飛ばしてました。 整理ありがとうございます。,"['すみません！', '外部リンクのところと見るの飛ばしてました。', '整理ありがとうございます。']","['excuse me!', 'I skipped looking at the external link.', 'Thank you for organizing.']","[('fa',), ('sd',), ('fc',)]"
１）N・ヤコヴェーンコは「民族浄化」について書いています。 本項では彼女の研究が載っていますので、ご参照ください。 例もあります。,"['１）N・ヤコヴェーンコは「民族浄化」について書いています。', '本項では彼女の研究が載っていますので、ご参照ください。', '例もあります。']","['1) N. Yakovenko writes about “ethnic cleansing”.', 'Please refer to her research in this section.', 'There are also examples.']","[('sd',), ('ad',), ('sd',)]"
ご意見ありがとうございます。 本当に独自研究なのか、それともただ単に出典が明記されていないだけなのかという問題もあるので、出来ればもっと沢山の人の意見をお聞きしたいですね。,"['ご意見ありがとうございます。', '本当に独自研究なのか、それともただ単に出典が明記されていないだけなのかという問題もあるので、出来ればもっと沢山の人の意見をお聞きしたいですね。']","['Thank you for your feedback.', 'There is also the question of whether it is really original research or simply the source is not specified, so if possible, I would like to hear the opinions of as many people as possible.']","[('fc',), ('sd',)]"
整理・統合に際しては、無菌操作を立項してありますので、こちらをご勘案ください。 本題ですが、殺菌を滅菌とすることに賛同します。,"['整理・統合に際しては、無菌操作を立項してありますので、こちらをご勘案ください。', '本題ですが、殺菌を滅菌とすることに賛同します。']","['Please take this into consideration when organizing and consolidating information, as we have stipulated aseptic operation.', 'This is the main subject, but I agree with sterilization as sterilization.']","[('ad',), ('sd',)]"
時間の都合でなるべく手短にお答えしますが、わからないことがあれば悪しからずご質問下さい。 私個人は、その程度の「独創的な（＝独自研究の可能性のある）」比喩は許容されると思っていました。,"['時間の都合でなるべく手短にお答えしますが、わからないことがあれば悪しからずご質問下さい。', '私個人は、その程度の「独創的な（＝独自研究の可能性のある）」比喩は許容されると思っていました。']","['Due to time constraints, I will answer as briefly as possible, but if there is anything you do not understand, please do not hesitate to ask.', 'Personally, I thought that that level of ""original (= original research)"" metaphor was acceptable.']","[(), ('sv',)]"
例によってソースは持ってないですが、あれは生物体内でしょうか？ あれは卵ですから、生物体は卵黄だけで、あとはその周りに雌体内からの分泌物が巻き付いているだけと考えますが。,"['例によってソースは持ってないですが、あれは生物体内でしょうか？', 'あれは卵ですから、生物体は卵黄だけで、あとはその周りに雌体内からの分泌物が巻き付いているだけと考えますが。']","[""As usual, I don't have the source, but is that inside the organism?"", 'Since that is an egg, I think that the living organism is only the yolk, and the rest is wrapped around it by secretions from the female body.']","[('qy',), ('sv',)]"
ベンサムがエピクロスの影響を受けてないという資料が示されたら「関連：快楽主義」とリンクを示すだけで大丈夫です。 受けている場合、正確な記述の中にリンクを張らなければなりません。,"['ベンサムがエピクロスの影響を受けてないという資料が示されたら「関連：快楽主義」とリンクを示すだけで大丈夫です。', '受けている場合、正確な記述の中にリンクを張らなければなりません。']","['If you are presented with a document stating that Bentham was not influenced by Epicurus, simply point to the link ""Related: Hedonism"".', 'If so, you must link to the correct description.']","[('sd',), ('sd',)]"
現在はおかやまりゅうせいです。 わけると、だめですね。,"['現在はおかやまりゅうせいです。', 'わけると、だめですね。']","['Currently, I am in Okayama Ryuusei.', ""If you understand, you can't.""]","[('sd',), ('sv',)]"
星屑の知識さん、こんにちは。 理論というのは単一の命題からなっているわけではありません。 それため、反証というのは実は簡単にはできません。,"['星屑の知識さん、こんにちは。', '理論というのは単一の命題からなっているわけではありません。', 'それため、反証というのは実は簡単にはできません。']","['Hello Stardust Knowledge,', 'A theory does not consist of a single proposition.', ""So it's really not that easy to refute.""]","[('fp',), ('sv',), ('sv',)]"
同一のテンプレートを使っている芸能人は沢山います。 そのほとんどはノートで議論されていないので検証されていないものと思います。,"['同一のテンプレートを使っている芸能人は沢山います。', 'そのほとんどはノートで議論されていないので検証されていないものと思います。']","['Many celebrities use the same template.', 'Most of them are not discussed in the notes, so I assume they are unverified.']","[('sd',), ('sd',)]"
私もHyolee2氏の編集に共感。 北朝鮮と韓国は、文化的土壌が現代に於いては乖離しているように思われるので、百科事典的には、乖離したものを同列に論じると繁雑になります。,"['私もHyolee2氏の編集に共感。', '北朝鮮と韓国は、文化的土壌が現代に於いては乖離しているように思われるので、百科事典的には、乖離したものを同列に論じると繁雑になります。']","[""I also agree with Mr. Hyolee2's editing."", 'Since North Korea and South Korea seem to have different cultural foundations in the present age, it would be complicated to discuss them on the same level as an encyclopedia.']","[('sd',), ('sv',)]"
それでは私ははっきり賛否を表明しておくべきですね。 残念ながら賛成です。 理由は結局明確な反論を組み立てられなかった為です。,"['それでは私ははっきり賛否を表明しておくべきですね。', '残念ながら賛成です。', '理由は結局明確な反論を組み立てられなかった為です。']","['Then I should clearly state my pros and cons.', 'Unfortunately I agree.', 'The reason for this is that we were unable to come up with a clear counterargument.']","[('sd',), ('aa',), ('sd',)]"
掲示板やニュースグループ、Wikiで構築されたサイトへの投稿、あるいはブログ上の「記述は」、一次資料としても二次資料としても使用されてはなりません。 「リンク」は掲示板上の「記述」ではありません。,"['掲示板やニュースグループ、Wikiで構築されたサイトへの投稿、あるいはブログ上の「記述は」、一次資料としても二次資料としても使用されてはなりません。', '「リンク」は掲示板上の「記述」ではありません。']","['Posts on bulletin boards, newsgroups, wiki-based sites, or blog posts may not be used as primary or secondary sources.', 'A ""link"" is not a ""description"" on a bulletin board.']","[('sv',), ('sd',)]"
いろいろ修正されているようですが、本質的なところは変わってないように思えます。 フリーというのは再配布の自由のような（GFDL参照）ことを指し、中身を好きに書いてよいとの意味ではないと考えてます。,"['いろいろ修正されているようですが、本質的なところは変わってないように思えます。', 'フリーというのは再配布の自由のような（GFDL参照）ことを指し、中身を好きに書いてよいとの意味ではないと考えてます。']","['It seems that various things have been fixed, but it seems that the essential part has not changed.', 'Free refers to something like the freedom to redistribute (see GFDL), and does not mean that you can write whatever you want.']","[('sv',), ('sd',)]"
呼吸色素の方に書いてもいいですね。 特に反対はしません。,"['呼吸色素の方に書いてもいいですね。', '特に反対はしません。']","['You can write to the respiratory pigment.', 'I am not against it.']","[('sd',), ('sd',)]"
ついでに続きも作ってみました。 これらはあらすじというより、ストーリーの概要ですね。,"['ついでに続きも作ってみました。', 'これらはあらすじというより、ストーリーの概要ですね。']","['I also tried to make a continuation.', ""These aren't synopsis, they're story outlines.""]","[('sd',), ('sd',)]"
