Sentence,dialog_acts
The orbital period listed as -5.9 days is inconsistent with an inclination of 157°.,"('sd',)"
"If we consider Triton to be orbiting with a negative period, then its total number of orbits completed from a given epoch would be decreasing (this is strange by itself).","('sd',)"
"Therefore, each orbit, counting upward, would be moving back in time, and in a counterclockwise (prograde) direction.","('sd',)"
I was the one who put in the revised intro and I think we will probably just have to agree to disagree.,()
I think that the vast majority of people understand crime as being any act that violates the law.,"('sv',)"
The example you give(it's a crime to let that beautiful garden go to ruin) I think points out an idiom (it's a crime to ...) and not a example of the widespread use of the term crime.,()
"There's a lot of mis-information now in this section, not to mention the fact that there's already a section on the 1947 version earlier in the article.","('sd',)"
"Between that overlapping, the overly-nitpicky stuff (to me) about specific changes in instrumentation in specific passages, and the rather POV stuff about the Three Pieces for solo piano version, this needs an overhaul.","('sd',)"
Any new information about this?,"('qy',)"
"Stumbled about the same misinformation and wanted to ask, why the aired date and the episode numbers are all that mixed up.","('sd',)"
IMDB also lists a different order..,"('sd',)"
"Yes, carbon has always been a conductor (some say a semiconductor) used in the manufacturer of resistors and other electronic components (at least since the 1920s).","('sd',)"
The thickness of pure carbon and its level of impurities changes its resistance.,"('sd',)"
"When you cover it with epoxy or other resins, only then can it be used as an insulator.","('sd',)"
"I haven't clicked on it, because it seems very odd, but there is a link in the See Also section that says Adams dirty crotch infection.",()
What's that all about?,"('qw',)"
That's good old-fashioned vandalism.,"('sv',)"
"Well...what specifically should be changed, then?",()
I'm more than willing to help edit it in whatever way it needs.,"('sd',)"
I wrote most of the plot summary.,"('sd',)"
"In the section on Uses, appearances and issues, someone makes the following claim, which I have marked as Citation Needed: Dolls have also traditionally been toys for young girls who, as opposed to boys, possess a maternal instinct.","('sd',)"
"This claim is questionable to me, and has no source.","('sd',)"
"— Preceding unsigned comment added by Omermar (talk • contribs) The book de máquinas y seres vivos was published in 1973 (Varela states so in the preface to the second edition), but the introduction in this article cites fragments from the preface to the second edition (1994, as far as I can tell).","('sd',)"
I'm not sure when was that preface added to the english edition of the book.,"('sd',)"
"DL 243 operates BOM-AMS-DTW every day, using the same Airbus 330-200 all the way from Bombay to Detroit.","('sd',)"
"There is no change of aircraft en route, nor does the flight number change.","('sd',)"
"And this is followed through every day (until that flight is replaced by DL 239, going BOM-AMS-ATL, following the same routine).","('sd',)"
"He-he, did I give away that I am German?","('sd',)"
"; -) And did you mean it the other way around, i.e.","('qy',)"
ocean for science topics but sea for geographic topics (but then we have Pacific Ocean?).,"('qy',)"
I think Step 1 could indeed be to merge World Ocean into Ocean.,"('sv',)"
"The US figure is a valid figure, from a reliable source.","('sd',)"
"The numbers of ethnic group diaspora members is not just about members who still hold citizenship to a state or who can still get citizenship, but those who are part of the shared descent from that ethnic group.","('sd',)"
Most ethnicities are distinct from that of any existing nation-state.,"('sd',)"
I just came here for the comments.,"('sd',)"
"Surprisingly, there are none about hip-hop.","('sv',)"
The ridiculous amount of racist comments and articles debating whether or not hip-hop producers are musicians is beyond quantitative measurement.,"('sv',)"
Sorry for the delay looking at this.,"('fa',)"
I now see that this edit is associated with the GA review.,"('sd',)"
I'm surprised this article has been nominated.,"('sv',)"
The Hungarian Soccer Association wanted two years of suspension.,"('sd',)"
"However, the FIFA only accepted a 1 year ban.","('sd',)"
"—Preceding unsigned comment added by 65.93.125.134 (talk • contribs) 22: 44, 22 December 2006 It is very important to understand that Puskas did not really want to leave Hungary.",()
"It was never 7, the answer is either 8 or 9 depending on when exactly you're talking about.","('sd',)"
"See here, but in brief, he arrived in February with 8 and the Supply joined on 19 March to make 9.","('sd',)"
So at the time of the momentous second landing on 8 March he had 8 but by the time the treaty was actually signed it was 9..,"('sd',)"
I agree with the general sentiment expressed here.,"('aa',)"
Fanny Imlay does not meet Wikipedia's notability criteria.,"('sv',)"
"If it weren't for the respect for the person(s)'s who obviously spent a considerable amount of time bringing the article to FA level, I would have nominated it for AfD.","('sd',)"
"St. Theresa, and specifically an interpretation of her visions, was the subject of a Nigel Wingrove short film, Visions of Ecstasy.","('sd',)"
"This film remains banned in the United Kingdom on the grounds of blasphemy, the only such film so banned.","('sd',)"
"The composer of the soundtrack, Steven Severin, later reworked the pieces to form part of his cd release Visions - an electronic ambient/soundscape style work.","('sd',)"
Joe Torre was also a the MLB Player's Union Rep at a crucial time: during the US Supreme Court's Flood v Kuhn Decision.,"('sd',)"
"Although unsuccessful, Flood, Torre's former teammate, became the first MLB player to both declare himself a free agent and challenge MLB's seemingly ironclad Reserve Clause, which Flood called tantamount to modern slavery.","('sd',)"
Who the heck is Craig Podmore that Almunia supposedly replaced as number one?,"('qw',)"
I'd bet that Craig placed that there himself.,"('ba',)"
Can someone please correct it?,()
"As for verifying of Ukraine's current relation to the IAC, we could use plenty of official comments about recent air accidents here with no mentions of the IAC as an investigating body.",()
"Instead, the national aviation authorities under the Ministry of Infrastructure are named.See, for instance, refs for this incident article.","('sd',)"
I believe Peter Spock committed suicide by throwing himself in front of a car in front of the Boston Children's Museum.,"('sd',)"
But I'm unable to find the corroborating newspaper account at the moment.,"('sd',)"
Peter lived next door to me at Hampshire College.,"('sd',)"
Once again i am requesting an historical mention of when the misnomer walleye was first used in the USA as the name for a pickerel.,"('sv',)"
In Canada there are a number of lakes and rivers named after the pickerel several hundred years ago.,"('sd',)"
"Please, without prejudice report the first known mention of the fish to be mentioned as a walleye?",()
"Hello fellow Wikipedians, I have just added archive links to on Microfinance.","('sd',)"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
The variety was changed to one that fits WP: COMMONALITY better 8 years ago following discussion on this very talk page.,"('sd',)"
It was directly in process for the time.,"('sd',)"
I have changed the section about passport requirements.,"('sd',)"
"Apparently not only the date on which the passport was issued, but also on which it was extended (if applicable).","('sd',)"
"I didn't find this information anywhere online, but airlines won't let you fly to the US unless you meet these requirements.","('sd',)"
"Hello fellow Wikipedians, I have just added archive links to on Kunming.","('fp',)"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
Whipping was the most common form of slave punishment.,()
It survived in some U.S. prisons and juvenile institutions even into the second half of the 20th century.,"('sd',)"
There's a huge difference between boxing match and brutal fight to the death.,"('sv',)"
"The personal life section talks about advice from her 'physician', but as she's English she'd have a 'doctor', not a 'physician'.","('sd',)"
Not sure what policy is on this but it seems wrong to me.,()
The article uses the abbreviation Yer.,"('sd',)"
ber.,"('+',)"
in its references.,"('+',)"
"I think this means Jerusalen Gemara, but am not sure.","('sd',)"
"Could anyone direct me to any wikipedia sources (articles, etc.)",()
for this?,"('+',)"
You're right - a U.S. point of view is a poor choice of words.,"('aa',)"
Perhaps a mention of their brief period of infamy in the United States?,()
"After all, they tried to make it in the U.S., and then it seemed like nothing worked out.","('sv',)"
You are probably right with the sex.,"('qy^d',)"
"Buddhist's are self-realised without any of the trash we are told to buy and habits 'we' do, therefore Maslow was being a bit of a scally-wag!","('sv',)"
His diagram is only half complete!,"('sd',)"
Editors appear to be following a Japanese outline for the article.,"('sd',)"
I was not aware there was a separate one.,"('sd',)"
Prefectural symbol was a new subtitle to me.,"('sd',)"
"ADM, please do add this material, but when you do so remember (1) to discuss it as theology rather than fact and (2) to reference authoritative sources discussing the belief.","('ad',)"
Traditional really doesn't cut it for something that has been redefined so many times even within one faith.,"('sv',)"
"Ideally, find the theologian(s) responsible for the origination of the doctrine.","('+',)"
I came to this page expecting to find information such as what techniques are used to date and place old texts.,"('sd',)"
(Carbon in the medium?,()
I wonder how they came up with that name?,"('qw',)"
"Because that is totally made up name, I never saw her using that.","('sd',)"
And I don’t think any other source used too.,"('sd',)"
I've just read the dumb comments by Hewison in the Guardian article The idea that he did not know what women looked like is a nonsense.,"('sv',)"
It is frankly irritating.,"('sv',)"
"Well if it's nonsense why did Effie herself write he had imagined women were quite different to what he saw I was, and that the reason he did not make me his Wife was because he was disgusted with my person (person = body).","('sd',)"
The cultural impact of Surrealism persisted after its heyday.,"('sv',)"
It remained attractive to leftist artists and writers who were not comfortable with the Stalinist cultural model.,"('sv',)"
Among them is the Martinique poet and playwright Aimé Césaire who served on the editorial board of US surrealist journal VVV.,"('sd',)"
"Actually, nomenclature is a little more complicated than that, and it turns out that Latreille's contribution may not be as great as you think.","('sv',)"
"The date of 1829 is not when the concept arose, or when the taxon was first formalised; instead, it is when the name Arthropoda was first validly published.","('sd',)"
This is an issue with a slew of label articles.,"('sv',)"
An announcement is not significant.,"('sv',)"
"We should write about the news, not that the news was announced.","('sv',)"
"Even though I'm Pakistani myself, I do not agree with putting the PAF page here.","('sd',)"
"It does not contain generic information related to the unit of measure, and is a patriotic page.","('sd',)"
It does not belong here.,()
No one is going to update this?,()
"It has been confirmed already, the new album, 予襲復讐 (Arakajime Shuu Fukushuu/I Hit Revenge) is going out July 31th, it had a teaser video up in a secret section of the official website (possible names for the teaser song: A-li-en, Stop Winny Upload).","('sd',)"
"The difficulty here, as in monarchy, is that there is no clear definition of what a monarch is.","('sv',)"
hereditary?,"('+',)"
"The Holy Roman Emperor and Kings of Poland were elected, as indeed, is the Pope.","('sd',)"
crowned?,"('qy',)"
The only monarch who is stilled crowned is the Sovereign of the UK (the popes used to be crowned).,"('sd',)"
rules a territory?,"('+',)"
"Knowledgeable parties, please see the discussion at Talk: I Got You (I Feel Good)#Songwriter?.","('qy',)"
Perhaps this issue is notable enough to address in this article?,()
The headline of that article is extremely misleading.,"('sd',)"
Did you read the whole thing?,"('qy',)"
As for the acute toxicity effects reported by Lieberman et al.,"('sd',)"
I'm gonna put the NPOV tag back up.,"('sd',)"
"Every culture has reprehensible customs, including the pre-Columbian cultures, and the Spanish.","('sv',)"
"I have no problem with those being discussed, though it would be more appropriate to talk about them on their respective pages.",()
"Capello is one of the most successful European football managers of the last two decades, who has consistently won trophies during that period.","('sd',)"
"He has been the England manager for slightly less than one year... and yet, Capello's stint with the England team takes up about half of the 'Managerial career' section.","('sd',)"
Sorry for the late response!,"('fa',)"
"To answer your question, it looks like the current structure for the Album article is kind of just a brief summary of several types of albums; I feel like it's unorganized to have such a large topic like musical albums and just have them thrown into a few sections here.",()
"Catherine Ellen Brown (Helen), was born on July 1, 1889 , it states her husband lived from 1877 - 1907.","('sd',)"
"But she was married on April 7, 1913.","('sd',)"
Something is amiss I believe..,()
"The current statement Finding the min, max, both the min and max, median, or even the k-th largest element can be done in linear time using heaps also seems spurious.","('sd',)"
"Firstly, you can easily find min, max and both min and max in linear time without using any kind of special data structure.","('sd',)"
And … can you really find the median in linear time in any way in which a heap is instrumental?,"('qy',)"
Is this image caption accurate?,"('qy',)"
"I believe clockwise from upper left meaning top left, top right, bottom right, bottom left, would be: Doughnuts in two shapes, Tim Hortons Timbits doughnut holes, glazed doughnuts from Five Daughters Bakery, and a pink Christmas doughnut.","('sd',)"
"Nevertheless, rioting broke out after China was defeated by Japan in the final match.","('sd',)"
You are making it sound like the reason for the rioting was the fact of the defeat itself.,"('bf',)"
"Perhaps you've not been following developments such as Arie Haan's (admittedly ungracious) response — people responded not because it was a defeat, but because it was a controversial defeat.","('qy^d',)"
"Erect in this case is scientifically standard usage, but coined means the same thing.","('sd',)"
"We get a similar but not as humorous problem with the usage of refer (BMNH R5407 was referred to Massospondylidae), which we usually change to assign when we catch it.","('sd',)"
I'll take care of that one.,()
The history section has an extensive discussion about portable computers.,"('sd',)"
Laptops are portable but portable computers may or may not be laptops.,"('sd',)"
Support for the reasons given by and especially .,"('sv',)"
"Ore Mountains may happen to be two English words, but the phrase does not seem (at all) to be the most commonly used name when speaking English, and the arguments to overlook that fact don't look strong enough to justify using anything but Erzgebirge.",()
"The numbers on the Plant article are cited, but are no more reliable for the Chlorophyta, in my estimation (and I pulled and cited those figures).","('sd',)"
"Part of the problem is that the basic circumscription of the Chlorophyta has changed in recent decades, so an accurate count is difficult to come by.","('sv',)"
"Most articles cite someone else, who cites comeone else, etc.","('sd',)"
back into the mists of confusion.,"('ad',)"
Could someone tone down the overdramatic aspects of this article?,"('qy',)"
The influence of certain fictionalized accounts of the Shinsengumi is a little strong...,"('sv',)"
"In the Legacy and cultural impact section, it says ...with many players and analysts considering him to be the greatest player ever, sourcing references which are from 2017 or older.","('sd',)"
"However, at that time, Federer was the sole leader in GS titles and weeks spent at number 1; the first record is now equaled by both Nadal and Djokovic, while the second record is now held by Djokovic.","('sd',)"
Specifically Group 5 is A unit designed to be self-administering and self-accounting and capable of operating independently.,"('sd',)"
It is composed of two or more group 4 units and is commanded by an OF-3 or 4.,"('sd',)"
"Most armies would call it a battalion, but that word is not in the definition.",()
I've created a chapter list up to the current Japanese volume (21) and included the chapters released in english past that volume.,"('sd',)"
"However I've added the titles from Crunchyroll's app, and not all the titles are shown on their chapter list.","('sd',)"
I haven't started the series yet so haven't filled them in from the actual chapters.,"('sd',)"
I have replaced the picture with the old version.,"('sd',)"
"I like the new picture, too, but its licence is unclear.","('sd',)"
"Also, the old picture is a featured picture..","('sd',)"
"I added a lot of the quotes, you're right.","('aa',)"
I just wanted a quick way to make the article sound less like it was written by one person who didn't use any sources.,"('sv',)"
I was trying for a more objective tone.,"('sd',)"
It did not say 80 naturally occurring zeolite frameworks - it was referring to zeolite minerals.,"('sd',)"
And chabazite-K is a different recognized mineral from chabazite-Ca.,"('sd',)"
The website referenced lists naturally occurring recognized minerals.,"('sd',)"
In Buffalo wings are ALWAYS served with celery and blue cheese?,"('qy',)"
Sure you have a source but it is little more than an ad.,"('aa', 'sv')"
"Late response, but it is possible.",()
Kevin Young also used 12 strides between hurdles sometimes.,"('sd',)"
"But after reading his page and watching 4 of Moses' races, I think you are right and that he only used 13 strides.","('sv',)"
"Путеец, again, I ask that you don't ping me to an article I am clearly watching.","('sd',)"
I reverted you on the aforementioned text for reasons I already explained.,()
"Prevalence on anal sex, including for MSM, varies.","('sd',)"
I am no longer convinced the definition of space probe currently used in this article is best.,"('no',)"
"I believe early spacecraft, even some on merely sub-orbital flights, might have been called at the time space probes.","('sd',)"
Unfortunately this is being edited by an anon so I can't talk directly to them.,"('sd',)"
It is NOT more taut and often far from readable.,"('sv',)"
"For example A unique experimental actualization is notable passim, demonstrable by, for example, the newly invented... is just stupid.","('sv',)"
"I lived in Heidelberg and nearby Nussloch for three year, and graduated from Heidelberg American High School.","('sd',)"
"I want to put in a couple of thoughts: First, when I lived in Heidelberg, from 1995-1998, I never heard of any Heidelberg establishments that had any No American rules.","('sd',)"
It most certainly is SYNTH to use a technical manual to discuss fumigation chambers at death camps using the product manual.,"('sv',)"
You need real sources describing the employment of fumigation at death camps.,"('ad', 'sv')"
Do you have any evidence that fumigation chambers existed anywhere else?,"('qy',)"
"This webpage indicates that the Velar approximant is used in Spanish whenever the letter /g/ is not before a nasal or starting a word...I am a native Spanish-speaker and even if I have heard this phoneme used, I wouldnt consider it a rule...The phrase el gato is commonly pronounced (at least in Venezuela) [el-'ga.to] and not [el-ˈɰa.to].","('sd',)"
I think the example was indeed badly chosen.,"('sv',)"
I just wanted to thank whomever took the time to make a page for Leon Powe.,"('sd',)"
He has an inspirational story and is deserving of a wikipedia article.,"('sv',)"
"Truly he is an amazing story, his background is amazing.","('sv',)"
"Since Toussaint Louverture spelled his own name Louverture for many years until his death in 1803, why is his name spelled L'Ouverture on this page?","('qw',)"
This is also highly inconsistent with much of recent literature.,"('sd',)"
"- Yeah, this.","('%',)"
"This is of course a summary of your views, not at all the result of the discussion.",()
"Please do not obsess with the matter, it is not worth either your or anybody else's time.","('sv',)"
Not labelling the film as sci-fi does not mean it is 100% sci-fi free and does no harm.,"('sv',)"
There are various proof-of-concept MSH viruses that have been floating round (and that a few people have tried to add to the article).,"('sd',)"
"I would argue that these are not notable: they have not been made possible by any new feature or flaw of MSH, they are merely straightforward ports of existing trojan scripts, which exist for pretty much every shell and scripting language there is.","('ng',)"
"All names refer to the One, True God.","('sd',)"
That different people have different understandings of Him is the cause of the different names.,"('+',)"
Whether they all worship the same god is an old point of dispute.,"('sv',)"
I do not think merging beans and pulses is a good idea.,"('sv',)"
"Pulse crops are an entire group, which contains peas, beans, fababeans, lentils, and chickpeas.","('sd',)"
"You cannot cover all these subjects in one page, and in all honesty, a pea has nothing to do with a bean, other than that they are both legumes.","('sd',)"
Not to mention that posing with an icon doesn't mean anything... A photo without context.,()
"A fan may have asked him to pose with it for personal reasons, or a local magazine, whatever.","('sv',)"
Cruise ships are an environmental disaster.,"('sd',)"
There needs to be a section on this.,"('sv',)"
Environmental Disaster?,"('br',)"
"I did a bit of a rewrite, but more work needs to be done.","('sd',)"
Some Chinese names and terms link to ambiguity pages and my knowledge of Chinese and language and history is insufficient to determine which is the correct article to link to.,"('sd',)"
And more reference sources of course.,"('sd',)"
On a page like this I would like a section on how retailers like Costco come by the products they sell us.,"('sd',)"
I want to know where these products come from and how they are made.,"('sd',)"
"If they are made over seas, I would like to know if the employment practices are fair.","('sd',)"
The RfC question asked was - Should the lead include Prince of Pop as Bieber's nickname?,"('sd',)"
What the lead currently says - .,"('sd',)"
"I believe that reliable sources do often refer to him as the Prince of Pop, and have throughout the years.","('sv',)"
"I know virtually nothing about IRC, and after reading the article, I'm still a bit confused by a lot of the big picture questions.","('sd',)"
"I infer/assume that a network is composed of servers, and that channels are either local to a server (&) or span across the entire network (#).","('sd',)"
"Channels can not span networks, though (I'm unsure of this).","('sd',)"
I made minor changes to a couple of assertions.,"('sd',)"
"Printing was not first conceived in China, as printing on clothes had been done before by various cultures.",()
"Also, the famous Phaistos Disc clearly shows a mature understanding of the concept of printing.","('sv',)"
This is the wrong place for such discussion.,"('sv',)"
Please post a note at Wikipedia: WikiProject Constructed languages/Edit wars and deletions and then follow the instructions for starting a deletion review.,()
There is a lot of inaccuracy in this article.,"('sv',)"
"For example, although I have now changed it, Imam Abdul-Wahab followed the Hanbali school of thought.","('sd',)"
He certainly did not reject the schools of thought.,"('sd',)"
"The article mentions some of the dangers of tonic water, its degradation in sunlight to other compounds, its half-life, that its bitterness disappears after quinine has degraded, and that tonic water drinks should be discarded if no bitterness is detected.","('sd',)"
I performed a web search but was unable to find sources supporting this information.,"('sd',)"
I was also unable to find any casual mention of it.,"('sd',)"
There is a section on individuals.,"('sd',)"
"Some are fictional, some are real.","('sd',)"
I don't know what this section is trying to tell me!,()
"The notable players list is starting to get pretty long, and I've noticed that many of the players listed have not used the Telecaster as their primary axe during their careers, but rather have used it merely sometimes, or with certain songs or albums.","('sd',)"
"For example, Jimmy Page is listed, though he is more characteristically known for his use of the Gibson Les Paul.","('sd',)"
The article has a Patents section with an announced royalty rates for LTE patents table citing analyst firm WiseHarbor.,"('sd',)"
"That table implies the total advertised royalty rates for mobile phone patents is about 15 percent of the cost of a mobile phone, however the very same analyst firm says the actual royalty rates paid are no more than around 5% of mobile handset revenues.","('sd',)"
Paragraph beginning w/ 1403 marks the year... states that Village after village rose to meet him.,"('sd',)"
"Meet needs to be replaced by either oppose or join, but I don't know which.","('sv',)"
"I'm agreeing with Wanderer, I think the data here can be recycled.","('aa',)"
"Assuming Gold Coast United goes ahead, the eventual page will almost certainly have to include information on the Galaxy, merely for historical purposes.","('sv',)"
This is in the same vein of the mentioning of Sydney Blues at Sydney_FC#Foundation.,"('sd',)"
Solid state card-like optical media?,"('qy',)"
A long time ago (early to mid 90's?),"('qy^d',)"
I recall seeing a bit in a magazine (Popular Science?),"('sd',)"
"about a business card size optical disc that didn't spin, but was read without moving parts and the surface looked like and was shiny just like CD's and DVD's.","('sd',)"
"Esoglou, see Augustine's Tractate on John 35 for example - with the Christ-Lucifer arising in Christian's hearts.",()
More to the point would be to ask which early Christian texts interpret 2 Peter 1: 19 and don't connect the Lucifer there with Christ?,()
"Though your suggestion does have merrit, such a title would indicate that the article was about vairations of the Gundam design, which are so varied that it could be its own section anyway.","('sd',)"
"There are plenty of other mobile suit lines with variants, but such an article could begin with a quick paragraph explaining the premise behind it all, to remind the reader what series its from and all...","('sv',)"
"Do really we allow blog posts by someone who show no credential, academically or occupationally, to be the only source for an entire section?","('qy',)"
This doesn't seem right.,"('sv',)"
"Whether it's true or not, it says they were first made in Los Angeles in this very article, but then it says on the right that the country of origin is Mexico.","('sd',)"
"I'm sorry, but no one in Mexico served these until a couple of decades ago; they are as American as fortune cookies.","('sd',)"
"Hello fellow Wikipedians, I have just added archive links to on Doutzen Kroes.","('sd',)"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
The image was moved to that section because it simply did not belong at the top.,"('sd',)"
It does not clearly illustrate a birth certificate as it is written in a language that most readers of the English language Wikipedia will not understand.,"('sd',)"
I moved it to a section on Russian birth certificates with the hopes that someone with knowledge in that area will expand on it.,"('sd',)"
"I removed this from the article for now: As a commentary on Psalm 110, Hebrews is important in New Testament theology, but, written over a thousand years after the Melchizedek episode, it has nothing to contribute to the historical discussion.","('sv',)"
I think the Lymphocyte bearing antigens recognized section has the beginnings of the HLA-D/A4 history information you're asking about.,()
It was in the original text that I moved from HLA-A.,"('sd',)"
"We can certainly expand on it, but doing so on the previous page seemed out of place.","('fc',)"
"Unless there is an official one, we don't use it.","('sd',)"
"As such, these sources speculating its release date through looking at a newsletter, is not official.","('sd',)"
"When its official, it'll be huge news and all over the Internet, it always is when I high profile game gets a release date.","('sd',)"
I uploaded a picture of a large Imari jar found at my local library.,"('sd',)"
"You're welcome to use it in the article, if you think it should go there.","('sv',)"
There is a similar situation with some modernish microcontrollers.,"('sv',)"
"While they don't actually have a Harvard architecture with separate data paths, often the code is in some kind or (to the CPU) ROM but you can use external hardware to, say, pull a normally 5V line to 12V and enter a special mode where you can change the contents of the ROM.","('sd',)"
The first paragraph states that the design of the EDSAC was inspired by that of the EDVAC.,"('sd',)"
It seems to be more than just inspiration.,"('sv',)"
Maurice Wilkes not only read the famous von Neumann's report.,"('sd',)"
"I understand he gets the Meyers name from his mother and thus, technically, he cannot have changed his name, as the article says, to Meyers as Meyers would be on his birth certificate.","('sd',)"
"Nonetheless, where does the Rhys part come from?","('qw',)"
Meyers is his mother's maiden name.,"('sd',)"
That's a POV that's not terribly helpful of itself for the article.,"('sv',)"
"The point about lack of storage is your best one, but any facts beyond the obvious that solar cookers don't store energy and can only be used when the sun is shining would need research and citation.","('aa',)"
In areas with consistent sunshine they're probably very effective especially if a backup method is available.,"('sd',)"
"Badger, you & I've talked about using JAXA images before, but Wikipedia's policies are in flux, so let's see how an image fares now.","('sd',)"
I liked this photo in particular because it really shows the boulders well.,"('sd',)"
"Everyone else, JAXA releases its images for educational and non-profit use, as long as JAXA is credited, and as long as any people in the photos give their consent.","('sd',)"
"First it fails to capture the real essence of the term and it's commonest connotation which is literally the engineering of society, i.e.","('sv',)"
as a particular social structure.,"('+',)"
"Second, it fails to capture the fact the term was coined as a right wing reaction specifically to the directives of the U.S. Judiciary to enforce racial integration.","('sv',)"
I notice that this link: www.ModernFurnitureClassics.com Transcript of an interview with Isamu Noguchi regarding his time working in the Brancusi Studio.,"('sd',)"
... was recently removed without comment from the article.,()
On 24 April 07 Wjcollier07 changed lots of spellings from UK to US English.,"('sd',)"
The Manual of Style says that this should not be done unless there is a compelling reason to do so.,"('sd',)"
"What reason can there be, particularly as Rolls-Royce is a British company?","('qw',)"
This is in response to a series of good-faith edits by Kasamasa in which some (but not all) capital Ps were changed to lower-case.,"('sd',)"
"I appreciate that the changes were made in good faith in an attempt to improve the article, but I'd like to revert them.","('fc',)"
I think Iron_Engineer made a good point by saying that the use of a particular symbol is context-driven.,"('sv',)"
Battery is the collective noun for cells (as it once was for fixed guns).,"('sd',)"
A cell is a single reaction container with an anode and a cathode.,"('sd',)"
"A battery is a collection of such, packaged together into a single unit and usually connected in series for higher voltages.","('sd',)"
Maybe we could mention Ricky Gervais' sitcom Extras?,()
"The bit where the mentalist goes, I love everything about it!","('sd',)"
"The wig, the glasses, the catchphrase - brilliant!","('sv',)"
There is a move discussion in progress on Talk: Rivers (disambiguation) which affects this page.,"('sd',)"
Please participate on that page and not in this talk page section.,"('sv',)"
"Just a word to the wise, the challenge in the article sounds like it reflects a personal prejudice.","('sv',)"
I don't find it coincidental that it was made regarding the Islamic section but nowhere else in the article.,"('sv',)"
There are some people who just refuse to acknowledge that Muslims or The Qur'an speak highly of Jesus as a servant of God.,"('sd',)"
It is an indisputable fact that Japan attempted at pushing the deal forward without acknowledging the past until they were hit by objections.,()
"That is what I mean by Japan's attitude and why criticism has risen from Korea, China, families of British war prisoners and possibly many others.","('sv',)"
"My compliments if you do, Alras.","('sd',)"
I also strongly feel that this page should at least attempt to distinguish between the different regulations per country when referring to frequency bands and related regulations.,()
"Unfortunately, I don't have the time to do it right now...","('sd',)"
"In a 3 to 0 vote, this article has been delisted in a Good Article review.","('sd',)"
"While there are now two inline citations as opposed to none, the lead is still way too long, (Check WP: LEAD) and the article overall may still not have enough content for its subject.","('sd',)"
"I did some check up on the civil war article, and while yes, you have a point, the amount of violence is not large enough to classify it as a civil war.","('sd',)"
"Taking things to the level of your ordinary citizen, surely the conflict in Slovenia cannot even remotely be compared to the civil war that took place in Bosnia for example, it was simply too brief and not nearly as violent.","('sv',)"
"The problem is not just the recent edits, many of which were mine.","('sd',)"
Most of what I wrote were straight deductions from the pre-existing material on the page.,"('sd',)"
"What this proves is that the original material, prior to my edits, is not enough to be well informative.","('sv',)"
This article includes a prophetic telegram alleged to have been sent by Ludendorff to Hindenburg with a reference link to The History Place.,"('sd',)"
"It was actually included by the British historian Ian Kershaw in his work, Hitler 1889–1936: Hubris, (London, 1998) .","('sd',)"
"Unfortunately I lost connection when I last tried to reply, but here is the deal.",()
"Bologna is absolutely relevant to Kappa Sigma, thus being placed inthe Kappa Sigma category.","('sd',)"
"Kappa Sigma, is easily argued as being important to Bologna because of the number of people that visit the city just to view the sites associated with the fraternity and spend money there.","('sd',)"
"He I helped improving the article, because (according to Failing States, Noam Chomsky) the Israeli bombing on Tunis killed 57 people, and not 70, as the writer mentioned.","('sd',)"
"Just helping, nice article by the way!",()
"An editor has twice removed the following, apparently without comment: Muskrat town, muskrat town, are the lyrics of a song written for a huge dinner in 1906.","('sd',)"
"Detroit is all right to see, but Monroe is the place for me.","('sd',)"
I remember my previous physics teacher said that this image:  in the Magnetic domains section is wrong.,"('sd',)"
The arrows should go from north to south.,"('sd',)"
"I just removed the totally hopeless section which was MT from the Japanese page, I think.",()
The whole page is a mess and needs serious cleanup from someone who finds this at least slightly interesting.,"('sv',)"
"Sorry, I don't know how to put the appropriate templates on the page.","('fa',)"
"Yes, a move discussion is fine, but the previous move did not follow our naming policies.","('sd',)"
So I have restored the page to the original title it was created under until an outcome here is reached.,"('sd',)"
Here a reference to a recent conference (incl.,"('sd',)"
Symes) that had exactly this issue and even pushed the envelope.,"('+',)"
"Beside Richard Nevell's interesting insight, I dont think that the discussed sources talk about colonization in the sense of apllying the Middle Ages to the non-European.","('sv',)"
"According to the treaty with boyars, Wladislaw had to convert to Orthodoxy and cut his powers in benefit of the boyars.",()
He didn't fullfill the clauses.,"('sv',)"
"Besides, according to Polyanovka's Peace Treaty he refused all his claims to the Russian throne.","('sd',)"
He had an epiphany... is incorrect.,()
"Contrary to current casual usage, an epiphany is the appearance in the natural world of a being from an unnatural world.","('sv',)"
Llull became obsessed with ascetic religion after a period of sensual pleasure.,"('sd',)"
Please wait for other opinions before making edits.,"('ad',)"
A link is not a proxy for a consensual agreement.,"('sv',)"
(re-edited) Ok...You convinced me.,()
My animosity against this trashy newspaper has defeated my neutrality.,"('sd',)"
I cant help feeling hostile towards the extreme right.,"('sd',)"
I read the press release of the National Gallery of Victoria NGV about the new discovery.,"('sd',)"
It says that the painting was made between 1515 and 1519 (Lucrezia died that year).,"('sd',)"
"Lucrezia was born in 1480, hence she would have been 35 to 39 years old when the painting was produced.","('sd',)"
