Sentence,Translated Sentence,dialog_acts
這位仁兄目前還沒有個人維基條目，也只能這樣了。,"This guy doesn't have a personal wiki entry yet, so that's all.","('sd',)"
這些歧義名詞，在條目中都已經寫出來了，說它們是同義語。,"These ambiguous nouns have been written out in the entry, saying that they are synonyms.","('sd',)"
已經有充份說明，也做了消歧義頁來幫助釐清譯名。,"It has been fully explained, and a disambiguation page has been made to help clarify the translation.",()
英文維基是參考，沒必要一模一樣。,"The English wiki is a reference, it doesn't have to be exactly the same.","('sd',)"
英文維基因為各個版本都有獨立頁面，所以內容較少，版本歷史大概在5頁的位置。,"English Wiki has independent pages for each version, so the content is less, and the version history is about 5 pages.","('sd',)"
而中文維基該詞條的內容較多，現在版本歷史的位置大概在第10頁。,"On the Chinese Wikipedia, this entry has more content, and the current version history is about page 10.","('sd',)"
我同意你条目品质最重要的观点，所以你的意见我都做了答复。,"I agree with your opinion that the quality of the article is the most important, so I have answered all your comments.","('aa', 'sd')"
什么时候得奖可能不重要，不过将注意力重新投入以为没什么问题的条目是挺耗精力的事情（比方说我原来放在收藏夹里的参考网页现在基本删掉了）。,"It probably doesn't matter when the award is won, but it can be exhausting to refocus on items that you thought were fine (for example, the reference pages I used to put in favorites are now mostly deleted).",()
在大陆，Burroughs译成“巴勒斯”远比“柏洛兹”多见（豆瓣条目搜索“柏洛兹”几无结果），因此作出修改。,"In mainland China, the translation of Burroughs into ""Burroughs"" is far more common than ""Boluosi"" (Douban entry search for ""Boluosi"" has few results), so a revision has been made.","('sd',)"
将大陆简体的“苏厄德”替换为“西沃德”，应该更为符合大陆音译英语人名惯例。,"Replacing the simplified ""Seward"" in mainland China with ""Seward"" should be more in line with the practice of transliterating English names in mainland China.","('sv',)"
博科圣地这个译名根本是谬误的。,The translation of the name Boko Haram is fundamentally wrong.,"('sd',)"
在这里的意思完全没有“禁地，圣地”之意，而是“非清真，不洁，非法，哈拉目”之意。,"The meaning here does not mean ""forbidden place, holy place"" at all, but ""non-halal, unclean, illegal, Haram"".",()
國家教育研究院學術名詞資訊網稱為「星條旗」。,"The National Institute of Education Academic Terms Information Network is called ""The Star-Spangled Banner"".","('sd',)"
《「起來！」我們的國歌》譯為「星條旗之歌」。,"""Arise!"" Our National Anthem is translated as ""The Star-Spangled Banner Song"".","('^q',)"
刚刚翻看了一下编辑历史，这个表格自2013年（甚至更早）就已经被创建了，似乎并不是从其它WP版本中翻译过来的。,"Just looked through the editorial history, this table has been created since 2013 (or even earlier) and doesn't seem to be translated from other WP versions.","('sd',)"
表格中的“抹布”一次应该指的是iPhone配件中的一块类似于眼镜布的“擦拭布”。,"The ""rag"" in the table should refer to a ""wiping cloth"" similar to glasses cloth in iPhone accessories.","('sd',)"
這樣似乎也可說「中國政府認定FLG是邪教」。,"This seems to say that ""the Chinese government considers FLG to be a cult.""","('sv',)"
另外內容已有明顯的翻譯問題，特別是第九條，出現了品牌名稱，這是很明顯的翻譯錯誤，原文根本沒有出現品牌名稱。,"In addition, there are obvious translation problems in the content, especially Article 9, where the brand name appears. This is an obvious translation error, and the brand name does not appear in the original text at all.","('sd',)"
当被考虑为日文。,when considered as Japanese.,"('+',)"
我认为其中的“大”字经翻译为中文后应该删除。,"I think the word ""big"" in it should be deleted after it is translated into Chinese.","('sv',)"
"Japan”,并未体现这个具有感情色彩的定语。","Japan"", does not reflect this emotional attributive.","('sv',)"
我个人认为销售数字和生产总值，都属于统计数据，从统计学上看并无太大差异（暂且不论来源之类）。,"I personally think that sales figures and gross production value are both statistical data, and there is not much difference from a statistical point of view (regardless of the source for the time being).","('sv',)"
而商品目录属于商品的基本信息，和前两者又不是一回事。,"The commodity catalog belongs to the basic information of the commodity, which is not the same thing as the first two.","('sv',)"
我是加上之后然后写出来源声明征求user2的意见（反正不被认可仍然可以被退回），再往后我才说再多问几个人。,"After I added it, I wrote a source statement to solicit user2's opinion (it can still be returned if it is not recognized anyway), and then I said to ask a few more people.","('sd',)"
該資料就是資料，該文章就是文章，就這麼簡單。,"The material is the material, the article is the article, it's that simple.","('sv',)"
我不介意你發起推翻專題指引，在那之前就是專題建議。,"I don't mind if you initiate overturning the topic guide, it's the topic suggestion before that.","('sd',)"
導言該說的說了，我懶得再理。,"The introduction should say, I am too lazy to talk about it.","('sv',)"
封面可以去取自英语版的吧。,The cover can be taken from the English version.,"('sd',)"
我有另外一个翻译问题。,I have another translation problem.,"('sd',)"
目前条目中大部分名词（人名、地名等）大部分都是我翻译过来的，但部分名字很难确定其中文翻译（比如オイナ族的那些）。,"Most of the nouns (person names, place names, etc.) in the current entries are mostly translated by me, but it is difficult to determine the Chinese translation of some names (such as those of the オイナ tribe).","('sd',)"
Despot在古希臘是指主人的意思，在拜占庭帝國時代成為國王或皇帝的稱號，之後成為專制主義（despotism）的字根。,"Despot means master in ancient Greece, became the title of king or emperor in the era of Byzantine Empire, and later became the root of despotism (despotism).","('sd',)"
所以它不一定被譯為暴君，也可以被譯為君主，要看提到這字的文章脈絡來決定。,"Therefore, it is not necessarily translated as a tyrant, but can also be translated as a monarch, depending on the context of the article that mentions this word.","('sd',)"
我之前从来没有获悉过1200万的事，所以听信北京国安现任名誉董事长孙康林的话，写的合并。,"I had never heard about the 12 million before, so I listened to the words of Sun Kanglin, the current honorary chairman of Beijing Guoan, and wrote the merger.","('sd',)"
你提出可查证资料，证明有出资，我修改成兼容两者的“并购”，完全是符合维基做法的修改。,"You provided verifiable information to prove that there was capital contribution. I amended it to be compatible with the two ""mergers and acquisitions"", which is completely in line with Wikipedia's practice.","('sd',)"
將中共在新疆的行為加入的理由是，有重要觀點認為此行為是種族滅絕，而此等觀點見於可靠來源。,"The reason for including the CCP’s actions in Xinjiang is that there are important views that this action is genocide, and these views are found in reliable sources.","('sv',)"
一般而言，自行判斷「行為是否是種族滅絕」屬於原創研究，除非有參考資料的內容在字面上符合其定義。,"In general, making your own judgment about whether an act is genocide is original research, unless the content of the reference material literally meets its definition.","('sv',)"
回應不是很想回，不過這好像是明知故問的……。,"I don't really want to reply, but this seems to be a knowing question....",()
軸，黃道和白道的傾斜交角並沒有在交點上，所以不會出現日蝕和月蝕。,"Axis, ecliptic and ecliptic oblique intersection angles are not at the node, so there will be no solar and lunar eclipses.","('sd',)"
科举是历史上各个国家王朝政权主持举办的，目的是替朝廷选拔人才，和王朝政权有密不可分的联系。,"The imperial examinations were held by the dynasties of various countries in history. The purpose was to select talents for the court, and they were inextricably linked with the dynasties.","('sd',)"
社會學，认真念的都知道难，主要是跨度太大，而且学派纷纭，观点各异。,"Sociology, anyone who studies it seriously knows that it is difficult, mainly because the span is too large, and there are many schools and different viewpoints.","('sd',)"
真正的难度首先是心理的，要能平等接受各种迥异的观点才能学好；其次是选某一方面深入进去，否则和没学差不了多少。,"The real difficulty is first of all psychological. You must be able to accept all kinds of different viewpoints equally to learn well; secondly, you must choose a certain aspect to go deep, otherwise it will not be much different from not learning.","('sv',)"
个人认为有主条目存在的章节，以一两段简述即可。,"I personally think that there are chapters with main entries, which can be briefly described in one or two paragraphs.","('sv',)"
因为无法阅读西班牙语，不知道该版本中是怎样分配比重。,"Unable to read Spanish, don't know how weighting is assigned in this version.","('sv',)"
system。,system.,"('+',)"
第四項才是文字。,The fourth item is the text.,"('sd',)"
特色条目大规模编辑极容易导致争议这种事情我强调很多遍了，少歪曲我的发言。,"Large-scale editing of featured articles can easily lead to controversy. I have emphasized this many times, so don't distort my speech.","('sv',)"
我的意思是，“良渚文化”的“文化”和“丝绸文化”的“文化”不是一个语义，参见文化。,"What I mean is that the ""culture"" of ""Liangzhu Culture"" and the ""culture"" of ""Silk Culture"" are not the same meaning, see Culture.","('sv',)"
列在同一个子标题下非常混乱。,Listing under the same subheading is very confusing.,"('sd',)"
我觉得如果非要把良渚列到条目里，更应该放到历史下面。,"I think that if Liangzhu must be included in the entry, it should be placed under History.","('sv',)"
～请不要把两个条目混为一谈。,~ Please do not confuse the two entries.,()
您要写出相关争议，这个我赞成，但相关争议应放在下文表述。,"You have to write about the relevant disputes, which I agree with, but the relevant disputes should be expressed below.","('sd',)"
「根據英文版特色條目編譯」這句說法是不對的。,"The statement ""compiled from English featured articles"" is incorrect.","('sd',)"
Aizag曾說過「英維版本本就有些內容缺失，在語句、起承轉合、連貫性的說明上與中文不合……自行編寫，並從英文維基汲取適度資訊撰寫……」。,"Aizag once said that ""the English-Vietnamese version is missing some content, and it is inconsistent with the Chinese in terms of sentences, transitions, and coherence... I wrote it myself, and drew appropriate information from the English Wiki to write it..."".","('sd',)"
没有其他更大的。,No other is bigger.,()
而2)根本不可能，所以必须有直接支持的来源。,"And 2) is simply not possible, so there must be a source of direct support.","('sv',)"
既然你在这里回应了我们就明说。,Since you responded here we'll make it clear.,()
看来你还是愿意讨论的。,It seems you are still open to discussing.,"('sv',)"
第一，看不到图片可能是因为网速关系。,"First, the inability to see pictures may be due to the speed of the network.","('sd',)"
斯特灵大学和圣安德鲁斯大学分别有各自的哲学系，但二者又推出了联合培养的哲学项目。,"The University of Stirling and the University of St. Andrews have their own philosophy departments, but the two have launched a joint philosophy project.","('sd',)"
这个联合培养项目在英国哲学家公认为是仅次于牛津的第二项目。,This joint training program is recognized by British philosophers as the second program after Oxford.,"('sd',)"
但并不是说，斯特灵和圣安德鲁斯并列第二。,"But that's not to say, Stirling and St. Andrews tied for second.","('sd',)"
內容繁雜瑣碎，太多無關痛癢的小段落，彷彿是將網絡上與此主題有關的內容全堆積在一個條目內展示而沒有結合。,"The content is complicated and trivial, with too many irrelevant small paragraphs, as if all the content related to this topic on the Internet is piled up in one entry without combination.","('sv',)"
科學家、重大進展及價格等完全不重要應刪去，文句語法也不符合維基百科標準。,"Scientists, major developments, prices, etc. are completely unimportant and should be deleted, and the grammar of the sentences does not meet Wikipedia standards.","('sv',)"
已增加首段內容。,The first paragraph has been added.,()
人口章節已分為歷史和現狀兩部分。,The population chapter has been divided into historical and current sections.,"('sd',)"
商業設施的部分已增加來源。,A portion of commercial facilities has been added to the source.,"('sd',)"
是的，有时甚至还被自动登出了，自己都不知道。,"Yes, sometimes even automatically logged out without knowing it.",()
希望维基能够提警一下用户现在还未注册或登入。,Hope the wiki can warn users that they are not registered or logged in yet.,"('sd',)"
WP:RS你自己讀一下。,WP:RS Read it yourself.,"('sd',)"
你在条目里加入“《大英百科全书》将毛泽东影响下的中华人民共和国（1949年至1976年）称为极权统治的例子，因此有观点将毛泽东称为极权主义领导人”我都认。,"You added ""Encyclopaedia Britannica refers to the People's Republic of China (1949-1976) under the influence of Mao Zedong as an example of totalitarian rule in the entry, so there is a view that Mao Zedong is called a totalitarian leader"" I agree.","('aa',)"
前言已精簡（其實那些獎後面都有提，建議刪除），前言不宜拖沓。,"The preface has been simplified (in fact, those awards are mentioned later, it is recommended to delete), and the preface should not be procrastinated.",()
本文的部分，演唱會流水席式的舉行場地、日期等資訊刪除，下方已有列表。,"In this part of this article, information such as the venue and date of the concert's flowing banquet has been deleted, and there is a list below.","('sd',)"
行文的語氣亦刪除一味的誇獎和褒讚，在所附連結已有，讓補充資訊說話。,"The tone of the writing also deletes blind praise and praise, which are already in the attached link, and let the supplementary information speak for itself.","('sv',)"
英文版对于E=mc^2有讨论，我觉得他们的版本有问题，那个叫SCZenz的家伙太过自以为是。,The English version has a discussion about E=mc^2. I think there is something wrong with their version. The guy named SCZenz is too self-righteous.,"('sv',)"
我无意也没空卷入这种口水战，反正我给大家的建议是，他们那段关于可用性的讨论是不对的。,"I have no intention or time to get involved in this kind of verbal war, anyway, my advice to everyone is that their discussion about usability is wrong.","('sd',)"
目前的情况，NC、AK点完了，所以现在是232（票数是7700:7300，还是落后400w）。,"In the current situation, NC and AK are over, so it is now 232 (the number of votes is 7700:7300, still 400w behind).","('sd',)"
GA开始完全手工重计（据说附带完全的审计），结果11.20。,"GA started a complete manual recalculation (it is said to come with a complete audit), the result is 11.20.","('sd',)"
我向来是不惮以最坏的恶意来推测。,I'm never afraid to speculate with the worst malice.,"('sd',)"
外交关系无关空难，法国澳门都属重复内容。,"Diplomatic relations have nothing to do with air crashes, and France and Macau are all repetitive content.","('sv',)"
相关领导言之无物。,The relevant leaders have nothing to say.,()
全部放進去在下就想不到人物介紹要寫甚麼了……在下還滿想把這個衝到優良條目的。,"Putting it all in, I can't think of what to write in the character introduction... I really want to make this an excellent entry.","('sd',)"
Beats!,Beats!,"('ba',)"
1.沒有問題啊。,1. No problem.,()
自己去找。,Find it yourself.,()
說王菲是大陸明星的一般都是太年輕的小孩子，沒有經歷過王菲最紅的那個時期。,Those who say that Faye Wong is a mainland star are usually too young children who have never experienced the period when Faye Wong was the most popular.,"('sv',)"
王菲是徹頭徹尾的香港歌手。,Faye Wong is a Hong Kong singer through and through.,"('sd',)"
我当然知道阮病毒的机理，只是阮病毒是否算生物，或者是否算病毒，取决于对生物和病毒的定义。,"Of course I know the mechanism of prions, but whether prions are considered organisms or viruses depends on the definition of organisms and viruses.","('sd',)"
这一点目前还有争论。,This point is still debated.,"('sd',)"
(－)反对，好了，看到这里我想我可以反对大纪元等期刊成为可靠来源了。,"(-) Against, well, seeing this, I think I can object to journals such as The Epoch Times as reliable sources.","('sv',)"
问题不在于政治问题，而在于大纪元等媒体为了其宗教信仰，在编译科学新闻时大量夹杂私货（例如），扭曲原文报道。,"The problem is not political issues, but the Epoch Times and other media, for their religious beliefs, when compiling scientific news, a lot of private goods (for example), distorting the original report.","('sv',)"
已DRV：WP:DRV?,Already DRV:WP:DRV?,"('qy',)"
oldid=65325392#超異域公主連結_Re:Dive_角色列表。,oldid=65325392#Super exotic princess link_Re:Dive_role list.,"('sd',)"
从严谨意义上。,In a strict sense.,()
其次不要过度强调政党其中的作用，即使“可能”党在其中的确有起作用。,"Secondly, don't overemphasize the role of political parties, even if the ""possible"" party does play a role in it.","('sv',)"
其实换个语境而言，就是“民主党通过了爱国者法案。,"In other words, “Democrats passed the Patriot Act.","('sd',)"
请列出证明该地名在汉语中多指“亚速尔（行政区）”，否则就是你的一家之言了。,"Please list and prove that the place name mostly refers to ""Azores (administrative region)"" in Chinese, otherwise it is your family's opinion.","('sd',)"
现在的情况是绝大多数的中文参考文献要么使用“亚速尔群岛”或“亚速尔自治区”，鲜有单独使用“亚速尔”的。,"The current situation is that the vast majority of Chinese references either use ""Azores"" or ""Azores Autonomous Region"", and few use ""Azores"" alone.","('sd',)"
可是他說的日語讀音きんし倒是有道理。,But the Japanese pronunciation きんし he said makes sense.,"('sd',)"
ㄇ一ˋ(mi4)和し未免相差太多，而且中文糸字是入聲字，如果日文本來就是用這個字的話，原則上會有入聲字尾－き、－つ、－ち或－く。,"ㄇ一ˋ(mi4) and し are quite different, and the Chinese シ character is an entering tone character. If this character is originally used in Japanese, in principle, there will be an entering tone ending -き, -つ, -ち or -く.","('sd',)"
我想問題是如果是關於天主教教義，該用“教皇”还是“教宗”。,"I guess the question is whether to use ""Pope"" or ""Pope"" if it's about Catholic doctrine.","('sv',)"
用“民主時代前”本身就不行，因爲中國和意大利行民主的時間到不同，而梵蒂岡的政治體制并不是民主。,"Using ""before the democratic era"" itself is not acceptable, because China and Italy practiced democracy at different times, and the Vatican's political system is not democratic.","('sv',)"
不能把条目当筐什么都往里装。,You can't put everything in the item as a basket.,"('sd',)"
电条目里没有必要介绍电学有哪些分支，这些内容对电学比较重要，对电条目并不重要。,"It is not necessary to introduce the branches of electricity in the entry of electricity. These contents are more important to electricity, but not important to the entry of electricity.","('sv',)"
你加入的那一句明显已经对现存的人的个人攻击和毁谤，维基百科是自由的百科全书但是并不是个人的宣讲台。,The sentence you added is obviously a personal attack and slander on existing people. Wikipedia is a free encyclopedia but not a personal pulpit.,"('sv',)"
我相信只有一小撮别有用心的人才会认为查尔斯和盖茨是敌基督。,I believe only a handful of people with ulterior motives would think that Charles and Gates are the antichrists.,"('sv',)"
DoS。,DoS.,"('+',)"
DoS。,DoS.,"('+',)"
战后日本国内军国主义思想一直未作清算。,"After the war, Japan's domestic militarism thought has not been settled.","('sv',)"
东京审判结果乃是二战结果的一部分，是无可争辩的程序正义。,"The outcome of the Tokyo Trial is part of the outcome of World War II, and it is indisputable procedural justice.","('sd',)"
『任何將這個概念應用於美蘇以前的任何早期大國或全球帝國，都是將這個概念強加給了一個錯誤的時代。,"""Any application of this concept to any early great power or global empire before the United States and the Soviet Union is to impose this concept on a wrong era.","('^q',)"
』：我刪了這句話。,』: I deleted this sentence.,"('x',)"
說實話，這種語氣不可能出現在大學以上等級的文章中。,"Truth be told, this kind of tone is unlikely to appear in an essay above the university level.",()
支持您的修改。,Support your modification.,"('^2',)"
administration是一个学科的名字。,Administration is the name of a subject.,()
但是，威尔逊的分析不正确不代表我们就应该忽略它。,But just because Wilson's analysis is incorrect doesn't mean we should ignore it.,"('sv',)"
这并不是独霸的问题，而是翻译的问题。,"This is not a question of domination, but a question of translation.","('sv',)"
诚然，中国历史上有些“圣人”的诞辰也被称为圣诞，但是多数人口中的圣诞就是耶稣诞辰。,"It is true that the birthdays of some ""sages"" in Chinese history are also called Christmas, but most people say that Christmas is the birthday of Jesus.","('sv',)"
盲目的敌对圣诞节（耶稣诞辰）的做法同样不是中立的。,Blind hostility to Christmas (the birth of Jesus) is also not neutral.,"('sv',)"
Phoenix常音譯「菲尼克司」用譯名，「不死鳥」是最常用的譯名（但鳳凰似乎也有這個別名），以這兩者為大宗。,"Phoenix often transliterates ""Phoenix"" as the translated name, and ""Phoenix"" is the most commonly used translated name (but Phoenix seems to have this alias as well), with these two as the bulk.","('sd',)"
永生鳥或長生鳥不是合適的稱呼。,Immortal bird or phoenix is ​​not an appropriate term.,"('sv',)"
"回應閣下,你們口口聲聲說順勢已出現了二百年,什至比現代醫藥要早,那麼為什麼到現在其研究還是如此稀少?","In response to your Excellency, you keep saying that homeopathy has been around for two hundred years, even earlier than modern medicine, so why is there still so little research on it?","('sd',)"
"如果順勢真的是能醫病卻無副作用,為什麼科學界不全力研究?","If homeopathy is really able to heal diseases without side effects, why doesn't the scientific community do its best to study it?","('qh',)"
ougaowen把君主专制改成消歧頁指向：专制主义和绝对君主制。,ougaowen changed absolute monarchy to disambiguation page pointing to: absolutism and absolute monarchy.,"('sv',)"
这种做法本身就漏洞百出。,This approach is itself full of loopholes.,"('sv',)"
专制主义不仅包括君主的专制也包括其他政党和个人的专制吧。,Despotism includes not only the tyranny of the monarch but also the tyranny of other political parties and individuals.,"('sv',)"
此段是作者在第一卷的後記中所做的説明。,This paragraph is an explanation made by the author in the afterword of the first volume.,"('sd',)"
注腳已添加。,A footnote has been added.,()
大學教育資助委員會是官方的委員會，執行機關是教育局。,"The University Grants Committee is an official committee, and the executive body is the Education Bureau.","('sd',)"
香港承襲英殖的公正性，學術獨立。,Hong Kong has inherited the impartiality of the British colony and its academic independence.,"('+',)"
好比公屋也由香港房屋委員會審議，執行機關是房屋署，你不會說公屋不是政府建。,"For example, public housing is also reviewed by the Hong Kong Housing Authority, and the executive agency is the Housing Department. You would not say that public housing is not built by the government.","('sd',)"
單從「負面中國性」這五個字來看，不一定是指當時國民政府的統治失政，也可能是指負面的價值觀。,"Judging from the five words ""negative Chineseness"", it does not necessarily refer to the failure of the Nationalist government at that time, but may also refer to negative values.","('sd',)"
《中美關係白皮書》的立場偏向美方，這沒錯，但此書的立場和我們正在討論的事情真的沒有關聯。,"The ""White Paper on Sino-US Relations"" is biased towards the United States, which is true, but the position of this book has nothing to do with what we are discussing.","('sd',)"
建议把图片删除，很恶心，要么用黑白绘画的示意图，用实物图就是色情。,"It is recommended to delete the picture, it is disgusting, or use a schematic diagram of a black and white painting, and use a physical picture to be pornographic.","('sv',)"
看日本，韩国等其他国家的维基都没有图。,"Look at the wikis of Japan, South Korea and other countries without pictures.","('sd',)"
是下午，因為地表會吸收太陽的輻射，使地面儲存了熱力，再慢慢釋放出來。,"It is afternoon, because the surface will absorb the sun's radiation, make the ground store heat, and then release it slowly.","('sd',)"
因此，已接受較長時間日照的下午，通常會較上午及中午溫度更高。,"Therefore, the afternoon, which has received a longer period of sunshine, is usually warmer than the morning and noon.","('sd',)"
1890年（清光绪十六年）四月，张之洞于武昌营坊口都司湖畔创建两湖书院。,"In April 1890 (the 16th year of the reign of Emperor Guangxu of the Qing Dynasty), Zhang Zhidong founded Lianghu Academy by the Dusi Lake at Yingfangkou, Wuchang.","('sd',)"
1902年，两湖书院和江汉书院、经心书院合并，改为两湖大学堂。,"In 1902, Lianghu Academy merged with Jianghan Academy and Jingxin Academy, and became Lianghu University Hall.","('sd',)"
1904年，按《奏定学堂章程》，改名两湖文高等学堂。,"In 1904, according to the ""Zouding School Regulations"", it was renamed Lianghu Higher School of Literature.","('sd',)"
(一&五&八)可行。,(One & Five & Eight) works.,"('sd',)"
(二&四&六&七)背景加長不反對，但我覺得設定和發展混在一起的安排有點不近人。,"(2&4&6&7) I don't object to the lengthening of the background, but I think the arrangement of setting and development mixed together is a bit unapproachable.","('sv',)"
而且是說整個故事的話，各方面的內容是越完整是越好的。,"And speaking of the whole story, the more complete the content in all aspects, the better.","('sv',)"
當我打算建立條目時，並不是主張它是「已存在的事件」，而是「受社會關注的概念」。,"When I intend to create an article, I am not arguing that it is an ""existing event"", but a ""concept of social concern"".","('sd',)"
我並沒有主張它即將發生，或者認為它必然會發生。,"I'm not advocating that it's about to happen, or that it's bound to happen.","('sd',)"
香港法制应该类似于英联邦国家。,Hong Kong's legal system should be similar to that of the Commonwealth of Nations.,"('sd',)"
我建立Template:商法时，没有翻译Template:CompaniesLaw里英联邦国家的公司形式，当时忽视了英联邦法律与香港的关系。,"When I created Template:Commercial Law, I did not translate the company form of Commonwealth countries in Template:CompaniesLaw, and ignored the relationship between Commonwealth laws and Hong Kong.","('sd',)"
史实部分，可查阅相关条目（题外话：繁体字用户果然对国共内战不甚了了）。,"For the historical facts part, you can refer to relevant entries (digression: users in traditional characters really don’t know much about the civil war between the Kuomintang and the Communist Party).","('sd',)"
不过在引述我的话的时候加副词“就”和“理”会加重语气，而本话题的重点就在于微妙的语感，所以请谨慎。,"However, adding the adverbs ""jiu"" and ""li"" when quoting my words will increase the tone, and the focus of this topic is on the subtle sense of language, so please be cautious.",()
“則早已突變成了介於法西斯獨裁與神權君主之間卻還披著紅色外衣的政體，如朝鮮。,"""It has already mutated into a regime between a fascist dictatorship and a theocratic monarchy, but still wearing a red coat, such as North Korea.","('^q',)"
已对此修改—以上留言由WangFORWhat（對話｜貢獻）加入。,This has been edited - the above comment was added by WangFORWhat (talk|contribute).,"('sd',)"
阁下怎么把机械波或者物质波的衍射现象，归类为一般咨询。,How do you classify the diffraction phenomenon of mechanical waves or matter waves as general inquiries.,"('qy',)"
让我不能理解。,I can't understand.,"('sd',)"
我认为，这是衍射条目的重要组成部分。,"In my opinion, this is an important part of the diffraction entry.","('sv',)"
你自己又下定義「絕大多數人的意思是指接近100%的意思」，先自己原創定義，再否認調查。,"You define yourself again ""the vast majority of people mean close to 100%"", first create your own definition, and then deny the investigation.","('sd',)"
還有，非新聞而只是個人論壇網頁，不是可靠引用。,"Also, it's not news but just a personal forum page, not a reliable reference.","('sd',)"
本条目解除保护仅仅是由于全保护时间过长，不利条目发展，并不代表争议已经解决。,"The removal of protection of this article is only due to the fact that the full protection time is too long, which is unfavorable to the development of the article, and it does not mean that the dispute has been resolved.","('sv',)"
之前的讨论我不愿意再重复，详见上文。,"I don't want to repeat the previous discussion, see above for details.","('sd',)"
谢谢意见。,Thanks for the opinion.,"('ft',)"
这个条目的英文版写得不怎么样，很多地方没有来源的。,"The English version of this entry is not very well written, and there are no sources in many places.","('sd',)"
把拳術發展歷史的内容直接复制过来。,Copy the content of the history of boxing development directly.,"('sd',)"
该内容格式混乱，和已有内容格格不入。,The format of the content is messy and incompatible with the existing content.,()
合并内容要“有机”地合并，而非简单复制粘贴。,"The merged content should be merged ""organically"", rather than simply copying and pasting.","('sd',)"
糸字並不只是對應絲字。,"The word ""Silk"" does not just correspond to the character ""Silk"".","('sd',)"
雖說絲字後來略為糸字，然而糸字本來就在日文漢字中存在。,"Although the silk character was later slightly changed to the シ character, the コ character originally existed in Japanese Chinese characters.","('sd',)"
出處文獻：使琉球錄，文字：-{綠貼裏}-一件，圖片中的裏是異體字。,"Source document: Shi Ryukyu Record, text: -{in the green post}-one piece, the inside in the picture is a variant character.","('sd',)"
出處文獻：磻溪隨錄，文字：公服者。,"Source document: Fenxi Suilu, text: Gongfu Zhe.","('sd',)"
-{公服之裡。,-{The place of public service.,"('^2',)"
必貼裡廣帶。,It must be posted in the wide belt.,"('qy^d',)"
舊公服裡。,In the old official uniform.,()
若着貼裡。,If it is posted.,()
俗稱固道貼裡}-。,Commonly known as Gudao Tie Li}-.,"('sd',)"
因為「省」已經虛級化了，所以我在學校其實我沒學到太多關於這方面的東西。,"Because ""province"" has been virtualized, I actually didn't learn much about it in school.","('sd',)"
但是您說的意思我能明白，可惜我在這方面知識不夠全面，所以可能比較難幫到您。,"But I can understand what you mean. Unfortunately, my knowledge in this area is not comprehensive enough, so it may be difficult to help you.",()
《西游记》第六十一回在降服牛魔王时，哪吒用的是“斩妖剑”。,"In Chapter 61 of ""Journey to the West"", when he subdued the Bull Demon King, Nezha used the ""Monster Slaying Sword"".","('sd',)"
据《辞海》资料，那吒是梵语音译的略称，全名“那吒俱伐罗”，相传为毗沙门天王第三子，称那吒太子或那拏天，佛教护法神。,"According to the ""Ci Hai"" information, Na Zha is an abbreviation of Sanskrit transliteration, and its full name is ""Nazha Juvara"". According to legend, it is the third son of King Bishamon, and it is called Prince Na Zha or Nana Tian, ​​a Buddhist Dharma protector.","('sd',)"
逸事、人物章節來源問題、粗體格式問題已解決，演出作品角色名粗體已添加說明。,"Anecdotes, character chapter source issues, and bold format issues have been resolved, and descriptions have been added for bold character names in performances.",()
還望可以解除反對票。,It is also hoped that the negative vote can be lifted.,()
多谢，麻烦了。,Thanks for the trouble.,"('fc',)"
关于这个词条的这么相似的问题，估计是因为资料太少（我目前能找到的只有官网了）而撞车了罢姑且认为，呵呵。,"Regarding such a similar question about this entry, it is estimated that it crashed because of too little information (the only thing I can find so far is the official website), let’s just think, haha.","('sd',)"
这个原则用在这里就有点复杂。,The principle here is a bit more complicated.,"('sv',)"
这个车站本来不叫这个名字，是因为有了这个学校的校区才开始叫这个名字。,"This station was not called this name originally, it was because of the campus of this school that it started to be called this name.","('sd',)"
所以我觉得应该是根据校方的翻译才比较准确。,So I think it should be based on the school's translation to be more accurate.,"('sv',)"
谢谢大家，请大家务必多提意见。,"Thank you all, please be sure to give more comments.",()
鉴于繁忙，我就不就意见一一回复了，以上建议我都写到纸上了，大家会陆续看到条目改善的结果。,"In view of the busy schedule, I will not reply to the comments one by one. I have written all the above suggestions on paper, and everyone will see the results of the improvement of the items one after another.","('sd',)"
请移动回金奈。,Please move back to Chennai.,()
在一切大陆出版的地图册上此城市均译为金奈（大使馆可能是没和国内协调好，反正这也不是他们关注的主要目的。,"This city is translated as Chennai in all atlases published in mainland China (the embassy may not have coordinated well with the country, anyway, this is not their main purpose of concern.","('sd',)"
而且那个网页只是介绍旅游地点）。,And that page just introduces tourist places).,"('sd',)"
鑒於該條目於超過2000年後段落無來源，後期貢獻人僅知俟意刪改文字刪去來源而不知考證重要，造成條目質量低落。,"In view of the fact that the entry has no source after more than 2000, the later contributors only knew to delete the text and delete the source without knowing the importance of textual research, resulting in low quality of the entry.","('sd',)"
在此提起撤銷優良。,It is fine to file a revocation here.,"('sd',)"
民主是手段，民主的对立面不是专制。,"Democracy is a means, and the opposite of democracy is not autocracy.","('sv',)"
对于这个解释鄙人表示反对，许多一党国家也通过其他方式保护国民的权利，例如法制制度。,"I disagree with this explanation. Many one-party countries also protect the rights of citizens through other means, such as the legal system.",()
